surface_form	normalized_form	lemma	segmentation	gloss	pos	frequency	first_verse	sample_verses	is_ambiguous	status
siangthote	siangthote	siangtho	siangtho-te	holy-PL	N	45	01007008	01007008|02028004|02029029|02031010|02035021	0	auto
thupiaksa	thupiaksa	thu	thu-piak-sa	word-give-PL.POSS	N	45	01007009	01007009|01047011|02034004|02035010|02035029	0	auto
Sidon	sidon	Sidon	Sidon	SIDON	PROP	45	01010015	01010015|01010019|01049013|06011008|06013004	0	auto
Abram	abram	Abram	Abram	ABRAM	PROP	45	01011026	01011026|01011027|01011029|01011031|01012001	0	auto
khuapi-ah	khuapi-ah	khuapi	khuapi-ah	city-LOC	N	45	01024010	01024010|01033018|01044013|04020016|04035025	0	auto
gamtatnasa	gamtatnasa	gamtat	gamtat-na-sa	kingdom-NMLZ-PL.POSS	V	45	01024066	01024066|03004003|03004014|03004023|03004028	0	auto
Naftali	naftali	Naftali	Naftali	NAFTALI	PROP	45	01030008	01030008|01035025|02001004|04001015|04001016	0	auto
kantan	kantan	kantan	kantan	cross.over	V	45	01031021	01031021|01032010|01032022|01032031|02014016	0	auto
pente	pente	pente	pente	things	N	45	01032017	01032017|01043011|04022041|04036006|05033015	0	auto
ahihlam	ahihlam	hi	a-hih-lam	3SG-be-way	V	45	01037033	01037033|01038016|02005019|07006022|07013016	0	auto
puanhampi	puanhampi	puan	puan-ham-pi	cloth-cover-big	N	45	01037034	01037034|10003031|10021010|11020031|11020032	0	auto
sawt	sawt	sawt	sawt	long.time	UNK	45	01048001	01048001|07005028|10016016|10016016|10017001	0	auto
tawlngakna	tawlngakna	tawlngak	tawlngak-na	rest-NMLZ	V	45	01049015	01049015|02023012|02031015|02033014|02035002	0	auto
tuni-a	tuni-a	tu	tu-ni-a	now-day-LOC	N	45	02002018	02002018|02014013|02014013|03008034|05004020	0	auto
den	den	den	den	neither	N	45	02010012	02010012|02010015|03006009|03006012|04010008	0	auto
tawi-in	tawi-in	tawi	tawi-in	carry-ERG	V	45	02017005	02017005|02017009|02032027|04022023|04025007	0	auto
ngahna	ngahna	ngah	ngah-na	get-NMLZ	V	45	02033016	02033016|04022006|05029022|14023011|15003007	0	auto
tawn	tawn	tawn	tawn	loaf	N	45	03011021	03011021|05005033|06007021|06007024|07009025	0	auto
Rehoboam	rehoboam	Rehoboam	Rehoboam	REHOBOAM	PROP	45	11011043	11011043|11012001|11012003|11012006|11012012	0	auto
thuhilhnate	thuhilhnate	thuhilhna	thuhilhna-te	teaching-PL	N	45	19119001	19119001|19119014|19119015|19119022|19119024	0	auto
ciatin	ciatin	ciatin	ciatin	each.kind.ERG	FUNC	44	01001011	01001011|01001012|01001021|01001021|01001024	0	auto
kantanin	kantanin	kantan	kantan-in	cross.over-ERG	V	44	01001020	01001020|01013017|02014029|02019021|04032005	0	auto
guhte	guhte	guh	guh-te	bone-PL	N	44	01002023	01002023|01050025|02013019|02013019|02013019	0	auto
kithei	kithei	thei	ki-thei	REFL-know.I	V	44	01003007	01003007|01041031|01042015|02002014|02021036	0	auto
samsiatna	samsiatna	samsiat	samsiat-na	destroy-NMLZ	V	44	01003014	01003014|01003017|01009025|01027012|01027013	0	auto
liatna	liatna	liat	liat-na	great-NMLZ	N	44	01006005	01006005|01045013|05003024|05005024|05009026	0	auto
Sodom	sodom	Sodom	Sodom	SODOM	PROP	44	01010019	01010019|01013010|01013012|01013013|01014002	0	auto
tawp	tawp	tawp	tawp	end	V	44	01011008	01011008|01029035|01031040|01044012|02009033	0	auto
khinin	khinin	khin	khin-in	move-CVB	V	44	01013012	01013012|01013018|01043024|01046030|02003007	0	auto
nomau	nomau	nomau	nomau'	2PL.POSS	FUNC	44	01017013	01017013|02010011|02016029|02020009|02023011	0	auto
Tu	tu	tu	Tu	now	FUNC	44	01019034	01019034|02012003|06010027|07001026|10017009	0	auto
piaksa	piaksa	pia	piak-sa	give-PL.POSS	V	44	01021004	01021004|02004021|02036007|03006017|03019020	0	auto
tangvalpa	tangvalpa	tangval	tangval-pa	youth-father	V	44	01022005	01022005|01034019|01044030|01044031|01044032	0	auto
nasemte	nasemte	nasemte	nasemte'	servant-PL.POSS	UNK	44	01022019	01022019|01032016|01044009|01044016|01047004	0	auto
Kote	kote	kote	Kote'	1PL.PRO.POSS	FUNC	44	01023006	01023006|01034010|02032023|02034009|04016013	0	auto
Simeon	simeon	Simeon	Simeon	SIMEON	PROP	44	01029033	01029033|01034025|01034030|01035023|01042024	0	auto
tho-in	tho-in	tho	tho-in	rise-ERG	UNK	44	01031055	01031055|01032022|01037007|04022013|04022021	0	auto
siamte	siamte	siamte	siamte	craftsmen	N	44	01041008	01041008|01041024|01050002|01050002|02007011	0	auto
khuampite	khuampite	khuam	khuam-pi-te	pillar-great-PL	UNK	44	02023024	02023024|02035011|02035017|02036036|02038010	0	auto
le-uh	le-uh	le	le-uh	and-PL.IMP	FUNC	44	03015031	03015031|04004015|04004020|05005029|05022009	0	auto
mittaw	mittaw	mittaw	mittaw	blind	N	44	03021018	03021018|03022022|05015021|10005006|23029009	0	auto
sugawp	sugawp	su	su-gawp	touch-INTENS	UNK	44	04024008	04024008|04024017|05032042|05033011|09014036	0	auto
tawpna-ah	tawpna-ah	tawpna	tawpna-ah	end.NMLZ-LOC	N	44	04024020	04024020|05008016|09010021|10002026|10015017	0	auto
galsim	galsim	gal	gal-sim	number	N	44	05002014	05002014|05002016|07002015|07003010|07020039	0	auto
lunghimawh	lunghimawh	lung	lung-himawh	heart-fear	V	44	06009024	06009024|09009005|09010002|18039016|19042005	0	auto
Rom	rom	Rom	Rom	ROM	PROP	44	27011030	27011030|40008005|40022017|40027015|40027021	0	auto
gulpi	gulpi	gul	gul-pi	serpent-great	N	43	01003001	01003001|01003002|01003004|01003014|01049017	0	auto
khangin	khangin	khang	khang-in	generation-ERG	N	43	01007017	01007017|02001020|02017016|02023030|03021017	0	auto
kithehthang	kithehthang	thehthang	ki-thehthang	REFL-scatter	N	43	01011004	01011004|02009009|07008012|09011011|09013008	0	auto
haksa	haksa	hak	hak-sa	INTENS-PAST	N	43	01018014	01018014|02005009|05001017|05015018|05030011	0	auto
nuai	nuai	nuai	nuai	below	FUNC	43	01021015	01021015|02027005|02028027|02030004|02037027	0	auto
len	len	len	len	net	UNK	43	01021018	01021018|01025026|01049010|02017012|02025027	0	auto
lang	lang	lang	lang	clear	N	43	01024022	01024022|02023022|02030013|02030015|02030023	0	auto
vei	vei	vei	vei	sick	V	43	01025030	01025030|02009011|02029024|02029026|03004006	0	auto
khutte	khutte	khut	khut-te	hand-PL	N	43	01027022	01027022|01027023|01049024|02015017|02017012	0	auto
mihonpi	mihonpi	mi	mi-hon-pi	person-multitude	N	43	01028003	01028003|02023002|02035001|02035020|03004021	0	auto
zai	zai	zai	zai	song	UNK	43	01034021	01034021|02025025|05002007|07018010|11006002	0	auto
zol	zol	zol	zol	redeem	V	43	01039010	01039010|01041002|01041004|01041018|03011022	0	auto
thukkik	thukkik	thuk	thuk-kik	deep-again	N	43	01050015	01050015|02032034|05032041|09018025|18021031	0	auto
theisak	theisak	thei	thei-sak	know.I-CAUS	V	43	02004015	02004015|02018016|02018020|02033012|04022028	0	auto
taak	taak	taak	taak	comb	N	43	02010010	02010010|05032021|08001017|09014026|09014044	0	auto
sitbaang	sitbaang	sitbaang	sitbaang	blemish	V	43	02012005	02012005|02029001|03001003|03001010|03003001	0	auto
bawlsia	bawlsia	bawl	bawl-sia	make-evil	V	43	02022021	02022021|05030007|08001013|10013020|18019022	0	auto
kigan	kigan	gan	ki-gan	REFL-bear	UNK	43	02025004	02025004|02026001|02026001|02026031|02026036	0	auto
utna	utna	ut	ut-na	will-NMLZ	V	43	05021014	05021014|07005002|07005009|07021022|13028009	0	auto
nangawnin	nangawnin	nangawnin	nangawnin	henceforth	FUNC	43	05023002	05023002|09021005|10012018|10017009|13011002	0	auto
gamlapi	gamlapi	gam	gam-la-pi	land-take-big	N	43	05028048	05028048|06003016|06009006|06009013|11008041	0	auto
belh	belh	belh	belh	refuge	N	43	05032004	05032004|06022005|06023005|10022003|10022033	0	auto
tanglai	tanglai	tang	tang-lai	generation-middle	V	43	05033015	05033015|09027008|12019025|15004019|18020004	0	auto
kumpinu	kumpinu	kumpi	kumpi-nu	king-mother	N	43	11010001	11010001|11010004|11010010|11010013|14009001	0	auto
gilkial	gilkial	gil	gil-kial	bowels	N	43	14032011	14032011|18018012|18024011|18027014|18030003	0	auto
Kherub-te	kherub-te	kherub	kherub-te	KHERUB-PL	UNK	42	01003024	01003024|02025018|02025020|02026001|02026031	0	auto
ciaptehna	ciaptehna	ciapteh	ciapteh-na	receive-NMLZ	V	42	01004015	01004015|02013016|03019028|06018006|06018008	0	auto
ei	ei	ei	ei	1PL.EXCL	UNK	42	01011004	01011004|01031037|01034023|01042002|05001028	0	auto
ngawng	ngawng	ngawng	ngawng	neck	N	42	01027016	01027016|01033004|01045014|01045014|01045015	0	auto
Zebulun	zebulun	Zebulun	Zebulun	ZEBULUN	PROP	42	01030020	01030020|01035023|02001003|04001009|04001016	0	auto
tuate	tuate	tua	tua-te'	DIST-PL.POSS	FUNC	42	01031034	01031034|01041006|01041019|01041023|01041027	0	auto
nawk	nawk	nawk	nawk	again	N	42	01037028	01037028|02012012|02012023|03026006|04020018	0	auto
beita	beita	bei	bei-ta	finish-PFV	V	42	01047015	01047015|02015015|09009007|18017011|18017011	0	auto
hanthawn	hanthawn	hanthawn	hanthawn	exhort	N	42	02006013	02006013|05001038|07009024|09011006|09023016	0	auto
“Nangmah	“nangmah	nangmah	Nangmah	2SG.PRO	FUNC	42	02020019	02020019|02020022|02025023|02028036|02029019	0	auto
migilo	migilo	migilo	migilo	enemy	N	42	02023001	02023001|17007006|18015020|18021031|18024018	0	auto
hi)	hi)	hi	hi	DECL	V	42	02029022	02029022|02030013|02032025|03021003|04018016	0	auto
kimkot	kimkot	kimkot	kimkot	round	N	42	02030003	02030003|02039025|02039026|03003002|03003008	0	auto
thuakin	thuakin	thuak	thuak-in	suffer-CVB	V	42	02032029	02032029|03022009|04018022|05004030|18034006	0	auto
sisa	sisa	si	si-sa	die-PERF	N	42	03005002	03005002|03005002|03005002|03011024|03011025	0	auto
galdo	galdo	gal	gal-do	campaign	N	42	04001003	04001003|04001016|04001016|04026002|04031005	0	auto
maangmuhna	maangmuhna	maangmuh	maangmuh-na	vision-NMLZ	N	42	04012006	04012006|04024004|04024016|09003015|10007017	0	auto
gawpin	gawpin	gawp	gawp-in	INTENS-ERG	UNK	42	05028035	05028035|09007010|09021013|18027023|19038008	0	auto
kamsangte	kamsangte	kamsangte	kamsangte'	prophet-PL.POSS	UNK	42	11020035	11020035|11022013|12003013|12009001|12023018	0	auto
Esther	esther	Esther	Esther	ESTHER	PROP	42	17002007	17002007|17002008|17002010|17002011|17002015	0	auto
laizangah	laizangah	lai	lai-zang-ah	middle-side-LOC	N	41	01001006	01001006|01002009|02014027|04002017|04005003	0	auto
vantungte	vantungte	van	van-tung-te	heavens	N	41	01002004	01002004|05011017|05028023|05033028|10022010	0	auto
ciangun	ciangun	ciang	ciang-un	then-PL.IMP	UNK	41	01003005	01003005|01042035|01050017|02001016|02002018	0	auto
pupi	pupi	pupi	pupi	ancestor	N	41	01004020	01004020|01004021|01004022|01010014|01010018	0	auto
kikhawl	kikhawl	kikhawl	kikhawl	walk.with	V	41	01005022	01005022|01005024|01006009|18030029|19034008	0	auto
gamsate	gamsate	gamsa	gamsa-te	beast-PL	UNK	41	01007021	01007021|01008001|02022031|03007024|03017015	0	auto
Jebus	jebus	Jebus	Jebus	JEBUS	PROP	41	01010016	01010016|01015021|02003008|02003017|02013005	0	auto
kihawlkhia	kihawlkhia	hawlkhia	ki-hawlkhia	REFL-drive.out	V	41	01017014	01017014|02010011|02022010|03007020|03007021	0	auto
Kum	kum	kum	Kum	year	N	41	01017017	01017017|02012041|03025003|03025051|03027005	0	auto
ngetna	ngetna	nget	nget-na	request-NMLZ	N	41	01017020	01017020|05018017|09001027|09012017|10014015	0	auto
Inn	inn	inn	Inn	house	N	41	01019011	01019011|02012046|03014044|05020005|05028030	0	auto
at	at	at	at	cut	V	41	01021004	01021004|02004025|02012044|05023025|06005002	0	auto
gu	gu	gu	gu	tree	UNK	41	01031019	01031019|01031030|01031034|01044004|02020015	0	auto
itin	itin	itin	itin	lovingly	FUNC	41	01034003	01034003|02020006|05004037|05005010|05007007	0	auto
hiangte	hiangte	hiang	hiang-te	branch-PL	N	41	01049022	01049022|02025036|02037022|03023040|05024020	0	auto
suangpi	suangpi	suangpi	suangpi	rock	N	41	02017006	02017006|04020008|04020010|04020010|04020011	0	auto
kiseek	kiseek	seek	ki-seek	REFL-sweep	V	41	02020004	02020004|02020025|02025018|02025031|02025036	0	auto
Amen	amen	Amen	Amen	AMEN	PROP	41	04005022	04005022|04005022|05027015|05027016|05027017	0	auto
taam	taam	taam	taam	tarry	N	41	04011035	04011035|05003029|07018002|07019006|07019009	0	auto
thumanin	thumanin	thu	thu-man-in	word-true-ERG	N	41	05022020	05022020|09022014|18011002|18034005|19037003	0	auto
kiphum	kiphum	phum	ki-phum	REFL-immerse	V	41	05034006	05034006|11002034|24008002|24022019|24025033	0	auto
Bethlehem	bethlehem	Bethlehem	Bethlehem	BETHLEHEM	PROP	41	06019015	06019015|07012008|07017007|07017008|07017009	0	auto
Gideon	gideon	Gideon	Gideon	GIDEON	PROP	41	07006011	07006011|07006013|07006015|07006019|07006022	0	auto
midangte	midangte	midangte	midangte'	other.person-PL.POSS	UNK	41	08002008	08002008|16007072|18020019|18031008|18031010	0	auto
khitui	khitui	khi	khi-tui	chain-water	N	41	09020041	09020041|15010001|17008003|18016020|19006006	0	auto
Zadok	zadok	Zadok	Zadok	ZADOK	PROP	41	10008017	10008017|10015024|10015025|10015027|10015029	0	auto
Satan	satan	Satan	Satan	SATAN	PROP	41	13021001	13021001|18001006|18001007|18001007|18001008	0	auto
Pilna	pilna	pilna	Pilna	learning	N	41	18011006	18011006|18028015|18028017|18028018|20001022	0	auto
Ngaihno	ngaihno	ngai	ngaih-no	love-INT	V	41	22001007	22001007|22001009|22001013|22001014|22001015	0	auto
zusak	zusak	zu	zu-sak	wine-CAUS	N	40	01002005	01002005|01007004|01019024|02009023|02016004	0	auto
kimkhat	kimkhat	kimkhat	kimkhat	half	N	40	01003006	01003006|01030014|02012007|02024006|02024006	0	auto
zasagih	zasagih	za	za-sagih	hundred-seven	V	40	01005026	01005026|01005031|02038024|02038025|02038028	0	auto
gan	gan	gan	gan	bear	UNK	40	01013006	01013006|01029007|01043016|01046032|02022005	0	auto
Amalek	amalek	Amalek	Amalek	AMALEK	PROP	40	01014007	01014007|01036012|01036016|02017008|02017009	0	auto
Ishmael	ishmael	Ishmael	Ishmael	ISHMAEL	PROP	40	01016011	01016011|01016015|01016016|01017020|01017023	0	auto
kiho	kiho	ho	ki-ho	call	N	40	01017022	01017022|01029009|02034029|02034034|02034035	0	auto
kai	kai	kai	kai	ascend	UNK	40	01022013	01022013|01037028|02002010|02019016|04016002	0	auto
leihawm	leihawm	leihawm	leihawm	pit	N	40	01023009	01023009|01023011|01023017|01023019|01025008	0	auto
Laban	laban	Laban	Laban	LABAN	PROP	40	01024029	01024029|01024029|01024032|01024050|01029005	0	auto
Midian	midian	Midian	Midian	MIDIAN	PROP	40	01025002	01025002|01036035|01037028|01037036|02002015	0	auto
pahtawi	pahtawi	pah	pah-tawi	do-honor	V	40	01030020	01030020|07013017|09002029|09002030|09015030	0	auto
nunung	nunung	nu	nu-nung	mother-back	N	40	01033002	01033002|01033007|01035029|01049033|02004008	0	auto
si-in	si-in	si	si-in	die-ERG	N	40	01035019	01035019|01047019|03010006|04006009|04027008	0	auto
puantualpi	puantualpi	puan	puan-tual-pi	cloth-many.colored-big	N	40	01037003	01037003|01037023|01037032|02028004|02028031	0	auto
hehsak	hehsak	heh	heh-sak	anger-CAUS	N	40	01040001	01040001|05009022|05028034|05032016|05032019	0	auto
Nail	nail	nail	nail	always	UNK	40	01041001	01041001|01041002|01041003|01041003|01041017	0	auto
khauh	khauh	kha	kha-uh	spirit-2/3PL	N	40	01042007	01042007|01042030|02007013|02007014|02007022	0	auto
hingkik	hingkik	hing	hing-kik	live-ITER	N	40	01045027	01045027|11017022|12013021|18014012|18015032	0	auto
tuangte	tuangte	tuang	tuang-te	chariot-PL	V	40	01050009	01050009|02014009|02014017|02014018|02014023	0	auto
kamsangpa	kamsangpa	kamsangpa	kamsangpa	prophet	N	40	02007001	02007001|05013005|05018020|09022005|11001010	0	auto
kul	kul	kul	kul	tar	UNK	40	02010025	02010025|02010026|02021011|02021011|03013044	0	auto
Sinai	sinai	Sinai	Sinai	SINAI	PROP	40	02016001	02016001|02019001|02019002|02019011|02019018	0	auto
gual	gual	gual	gual	row	N	40	02028017	02028017|02028017|02028017|02028018|02028019	0	auto
tulthum	tulthum	tulthum	tulthum	three.thousand	N	40	02032028	02032028|02038026|04001016|04001016|04002017	0	auto
behlap	behlap	beh	beh-lap	tribe-half	N	40	03027013	03027013|03027015|03027019|03027027|03027031	0	auto
nak-uhleh	nak-uhleh	nak	nak-uh-leh	SUBJ-PL-if	N	40	04018032	04018032|05015003|05028012|09021004|11002002	0	auto
mangthang	mangthang	mangthang	mangthang	perish	N	40	04021029	04021029|04027004|09025021|18006015|18006017	0	auto
pusuak	pusuak	pusuak	pusuak	mouth	N	40	04027021	04027021|05008003|06006001|09002030|09002035	0	auto
buaina	buaina	buai	buai-na	confuse-NMLZ	V	40	05028020	05028020|05028028|07012002|09014015|09014019	0	auto
Jezreel	jezreel	Jezreel	Jezreel	JEZREEL	PROP	40	06015056	06015056|06017016|06019018|07006033|09025043	0	auto
gammite	gammite	gammi	gammi-te	citizen-PL	N	40	07001027	07001027|12021024|12021024|20008015|20029002	0	auto
cihte	cihte	ci	cih-te	say.II-PL	V	40	09009009	09009009|13016018|17003011|17003011|19001001	0	auto
itte	itte	it	it-te	love-PL	V	40	10019006	10019006|19069036|19088018|19119132|19122006	0	auto
kimanna	kimanna	manna	ki-manna	REFL-manna	N	40	14028021	14028021|18022002|18030001|18030002|20021030	0	auto
midikte	midikte	mi	mi-dik-te	person-straight-PL	N	40	19001006	19001006|19011003|19011005|19014005|19064010	0	auto
ngahtheih	ngahtheih	ngah	ngah-theih	get-ABIL	V	40	26022027	26022027|42010025|42020014|43005034|43005039	0	auto
Judas	judas	Judas	Judas	JUDAS	PROP	40	40010004	40010004|40013055|40026014|40026025|40026047	0	auto
laizang	laizang	lai	lai-zang	middle-side	N	39	01003003	01003003|02014022|02014023|02015019|03015031	0	auto
khangsak	khangsak	khangsak	khangsak	raise.up	V	39	01003016	01003016|01048016|05018015|05018018|07002016	0	auto
tengin	tengin	teng	teng-in	dwell-CVB	V	39	01004020	01004020|01008022|01013012|01034010|01034016	0	auto
taklamah	taklamah	taklam	taklam-ah	right-LOC	N	39	01013009	01013009|04022026|10002021|11002019|19016008	0	auto
“Keima	“keima	keima	Keima	1SG.self	FUNC	39	01016005	01016005|01030025|01037006|02007017|02013002	0	auto
taikhia	taikhia	tai	tai-khia	rebuke-out	V	39	01016006	01016006|01016008|01039018|02001010|03026037	0	auto
langpang	langpang	langpang	langpang	against	UNK	39	01016012	01016012|03019016|05002015|05021018|05021020	0	auto
palsat	palsat	pal	pal-sat	wall-strike	N	39	01017014	01017014|03017004|03020018|03026015|04014041	0	auto
ning	ning	ning	ning	will	UNK	39	01018019	01018019|02016020|02016024|02027001|02028016	0	auto
gensak	gensak	gen	gen-sak	speak-CAUS	V	39	01018032	01018032|01030027|01044018|01050004|02004016	0	auto
khemna	khemna	khem	khem-na	restrain-NMLZ	V	39	01027012	01027012|01034013|03026039|05011016|06022016	0	auto
siit	siit	siit	siit	sacrifice	UNK	39	01027036	01027036|03022030|04009012|05002034|06010028	0	auto
kawmin	kawmin	kawmin	kawmin	while	FUNC	39	01028006	01028006|01032031|01045015|07014009|09010005	0	auto
thutak	thutak	thu	thu-tak	word-true	N	39	01042011	01042011|02007009|19073015|19085010|19085011	0	auto
Pa	pa	pa	Pa'	male.POSS	N	39	01049024	01049024|18006010|23005017|23005024|23029019	0	auto
themkhat	themkhat	themkhat	themkhat	part	N	39	02005011	02005011|03011025|03011035|03011037|03011038	0	auto
kipiak	kipiak	kipiak	kipiak	present	N	39	02005013	02005013|03006018|03007035|04003016|06021002	0	auto
huang	huang	huang	huang	village	V	39	02008013	02008013|02013007|02035018|05005014|10017018	0	auto
kauphe	kauphe	kauphe	kauphe	locust	N	39	02010014	02010014|02010014|02010019|03011022|03011022	0	auto
zakin	zakin	za	zak-in	hear.II-CVB	V	39	02011002	02011002|02024007|04011001|04011018|05005001	0	auto
kiptakin	kiptakin	kip	kip-takin	firm-really	UNK	39	02014013	02014013|10020002|11002012|12014005|12018006	0	auto
hithiat	hithiat	hi	hi-thiat	be-quiet	V	39	02014014	02014014|17003015|18003013|18003017|18012006	0	auto
galhang	galhang	galhang	galhang	warrior	N	39	02015003	02015003|05003018|06001014|06005004|06005006	0	auto
sisak	sisak	si	si-sak	die-CAUS	N	39	02021012	02021012|02033003|04014037|04023010|06010026	0	auto
ngeinate	ngeinate	ngeina	ngeina-te	knowledge-PL	N	39	02024003	02024003|03018030|03020023|04006013|04009012	0	auto
ausan	ausan	ausan	ausan	scarlet	N	39	02025004	02025004|02026001|02026031|02026036|02027016	0	auto
Tuuno	tuuno	tuuno	Tuuno	lamb	N	39	02029039	02029039|02029040|02029041|04015005|04028004	0	auto
Asherah	asherah	Asherah	Asherah	ASHERAH	PROP	39	02034013	02034013|05007005|05012003|05016021|07003007	0	auto
saihadial	saihadial	saihadial	saihadial	SAIHADIAL	UNK	39	03006010	03006010|03006010|03013047|03013048|03013052	0	auto
siangsak	siangsak	siang	siang-sak	holy-CAUS	N	39	03014011	03014011|03014052|03019017|04008006|04014016	0	auto
kamtai	kamtai	kamtai	kamtai	messenger	N	39	05002026	05002026|06010003|06010006|09023027|10011019	0	auto
haina	haina	hai	hai-na	possess-NMLZ	N	39	05022021	05022021|05028028|09025025|18013004|18042008	0	auto
cimawh	cimawh	cimawh	cimawh	oppress	V	39	05024014	05024014|18006020|18006027|18030025|18031019	0	auto
thang	thang	thang	thang	scatter	UNK	39	06006027	06006027|07002003|08004011|08004014|14032027	0	auto
Samson	samson	Samson	Samson	SAMSON	PROP	39	07013024	07013024|07013025|07014001|07014005|07014007	0	auto
luanghawm	luanghawm	luanghawm	luanghawm	carcass	N	39	07014008	07014008|07014008|07014009|07016031|10021012	0	auto
lasaknate	lasaknate	lasak	lasak-na-te	take.CAUS-NMLZ-PL	V	39	09018006	09018006|10006005|10006005|13015016|13015020	0	auto
kampauna	kampauna	kampau	kampau-na	voice-NMLZ	N	39	12002022	12002022|12022019|18034036|19033006|19044014	0	auto
laizial	laizial	lai	lai-zial	middle-place	N	39	15006002	15006002|24036004|24036006|24036008|24036010	0	auto
tengah	tengah	teng	teng-ah	dwell-LOC	V	38	01001002	01001002|01041054|02007024|02034003|07020042	0	auto
kiman	kiman	kiman	kiman	profit	N	38	01002001	01002001|02012029|02035002|02039032|04005013	0	auto
laiza	laiza	lai	lai-za	middle-place	N	38	01004021	01004021|01031027|09010005|09016016|09016023	0	auto
khahkhia	khahkhia	khahkhia	khahkhia	deliver	V	38	01005029	01005029|01032011|02006006|02015007|02018010	0	auto
khualzin	khualzin	khual	khual-zin	pilgrimage	V	38	01012009	01012009|01035021|01046001|02040036|02040038	0	auto
manlang	manlang	manlang	manlang	hastily	N	38	01018007	01018007|01041014|05028048|06023014|09028024	0	auto
sauveipi	sauveipi	sauveipi	sauveipi	flock	N	38	01021034	01021034|01026008|02019013|03026010|04020015	0	auto
kammalte	kammalte	kammal	kammal-te	word-PL	N	38	01024052	01024052|01027034|01045027|02034028|05028012	0	auto
se	se	se	se	dragon	N	38	01025022	01025022|12014010|18003012|18003012|18021013	0	auto
ginalo	ginalo	ginalo	ginalo	GINALO	UNK	38	01030042	01030042|05013013|09001016|10006022|10020001	0	auto
mat	mat	mat	mat	steal	V	38	01037006	01037006|01037010|01042009|01043018|04014003	0	auto
ngenin	ngenin	ngen	ngen-in	net-IN	V	38	01041055	01041055|07006006|09001010|09001026|09002001	0	auto
ha	ha	ha	ha	tooth	N	38	01049012	01049012|02021024|02021024|02021027|03024020	0	auto
Shimei	shimei	Shimei	Shimei	SHIMEI	PROP	38	02006017	02006017|04003018|04003021|10016005|10016007	0	auto
bawlte	bawlte	bawlte	bawlte	makers	N	38	02018008	02018008|02018009|05003021|05004034|11002044	0	auto
gamkhing	gamkhing	gamkhing	gamkhing	desolate	N	38	02023029	02023029|03026022|03026031|03026033|12022019	0	auto
khuampi	khuampi	khuam	khuam-pi	pillar-great	UNK	38	02026032	02026032|02026037|02027010|02027011|02027012	0	auto
kongkhakte	kongkhakte	kongkha	kongkha-te	door-PL	N	38	02038030	02038030|07003023|07003024|07016003|09003015	0	auto
kilat	kilat	lat	ki-lat	strengthen	UNK	38	03009006	03009006|03013014|03013049|19021009|20017028	0	auto
Pulnatna	pulnatna	pul	pul-nat-na	fear-very-NMLZ	N	38	04014012	04014012|05028021|05028022|10024013|11008037	0	auto
Kumpipa	kumpipa	kumpipa	Kumpipa'	king.POSS	N	38	04020017	04020017|04021022|09025036|10003036|10018018	0	auto
Balak	balak	Balak	Balak	BALAK	PROP	38	04022002	04022002|04022004|04022010|04022014|04022015	0	auto
taangko	taangko	taangko	taangko	proclaim	N	38	05011029	05011029|07007003|12009013|14023011|15008021	0	auto
mihai	mihai	mihai	mihai	wise	N	38	09021015	09021015|10013013|12009011|18012017|18012019	0	auto
Benaiah	benaiah	Benaiah	Benaiah	BENAIAH	PROP	38	10008018	10008018|10020023|10023020|10023021|10023022	0	auto
Ahaz	ahaz	Ahaz	Ahaz	AHAZ	PROP	38	12015038	12015038|12016001|12016002|12016005|12016007	0	auto
Johan	johan	johan	Johan'	JOHAN.POSS	UNK	38	40003003	40003003|40003013|40009014|40011007|40011010	0	auto
nak	nak	nak	nak	nose	N	37	01002007	01002007|01015012|01020008|01024047|01039019	0	auto
khamte	khamte	kham	kham-te	forbid-PL	V	37	01002012	01002012|02038024|04031051|04031052|04031054	0	auto
sawlkhia	sawlkhia	sawlkhia	sawlkhia	send.forth	V	37	01003023	01003023|01019029|01021014|01025006|01028005	0	auto
Tu-a	tu-a	tu	Tu-a	that	FUNC	37	01008021	01008021|02010017|03023044|07016028|11007037	0	auto
Hamath	hamath	Hamath	Hamath	HAMATH	PROP	37	01010018	01010018|04013021|04034008|06013005|07003003	0	auto
paisukin	paisukin	pai	pai-suk-in	go-DOWN-ERG	V	37	01011007	01011007|01024016|01024045|01038001|01043004	0	auto
Bethel	bethel	Bethel	Bethel	BETHEL	PROP	37	01012008	01012008|01012008|01013003|01013003|01028019	0	auto
Ai	ai	Ai	Ai	AI	PROP	37	01012008	01012008|01013003|06007002|06007002|06007003	0	auto
Hebron	hebron	Hebron	Hebron	HEBRON	PROP	37	01013018	01013018|01037014|02006018|04003019|04003027	0	auto
bawngno	bawngno	bawng	bawng-no	calf	N	37	01018007	01018007|02032004|02032008|02032019|02032020	0	auto
nitakin	nitakin	ni	ni-tak-in	day-exact-ERG	N	37	01019001	01019001|01019033|01019034|01019035|01024063	0	auto
mai-a	mai-a	mai	mai-a	face-LOC	N	37	01019027	01019027|01033014|02027021|03004007|03018024	0	auto
lumkhawm	lumkhawm	lumkhawm	lumkhawm	lie.with	V	37	01019032	01019032|01019034|01024016|01026010|01030003	0	auto
Rachel	rachel	Rachel	Rachel	RACHEL	PROP	37	01029006	01029006|01029009|01029010|01029011|01029012	0	auto
