lemma	citation_form	pos	primary_gloss	gloss_candidates	review_gloss_summary	english_glosses	all_glosses	gloss_counts	inflected_forms	token_count	form_count	compounds	top_collocates	example_verses	is_polysemous	is_grammatical	needs_review	entry_status	polysemy_notes	grammaticalization_notes	sense_count	pos_variants	entry_type	lexical_frequency	grammatical_frequency	review_priority	backend_issues
phong	phong	V	reveal	reveal|REFL		reveal	REFL|reveal	reveal:22|REFL:1	kiphong|phong|phongin|phongkhia|phongto|phongto-in	23	6		hong:7|ding:6|hi:5|pa:2|pan:2|ning:2|khut:2|topa:2|ngam:1|mi:1	04024009|09002008|09002008|09005003|10012017	0	1	0	clean			2	V:23	lexical	22	1	low	
galkapte	galkapte	UNK	soldier	soldier|GALKAPTE		soldier|war	GALKAPTE|soldier	soldier:19|GALKAPTE:4	galkapte|galkapte,”|“galkapte	23	3		kimkot:3|kumpipa:2|ding:2|kuan:1|hang:1|tang:1|kumpi:1|ama:1|kholh:1|lui:1	04031028|09017045|11002035|12007014|14014013	0	0	1	clean			2	UNK:23	lexical	23	0	low	
Arabah	Arabah	PROP	Arabah	ARABAH			ARABAH	ARABAH:23	arabah	23	1		gam:3|pan:3|ahi:2|om:2|lam:2|galkhat:1|mual:1|kici:1|kithawi:1|ciang:1	05001001|05001007|05002008|05003017|05003017	0	0	0	clean			1	PROP:23	lexical	23	0	low	
mipilte	mipilte	UNK	wise.person	wise.person|MIPILTE		wise.person	MIPILTE|wise.person	wise.person:21|MIPILTE:2	mipilte|“mipilte	23	2		thei:3|hi:2|siangtho:2|sum:1|hilh:1|hai:1|thuak:1|pilna:1|ngat:1|sang:1	05016019|18012017|18015017|20001006|20011029	0	0	1	clean			2	UNK:23	lexical	23	0	low	
hilo	hilo	UNK	Hilo	HILO			HILO	HILO:23	“hilo|“hilo,”	23	2		ama:3|dawng:3|kumpi:3|nu:3|hi:2|mi:1|tung:1|ci:1|hang:1|khat:1	06005014|06024021|07019023|08001010|09001015	0	0	1	clean			1	UNK:23	lexical	23	0	low	
Benjamin-Te	Benjamin-Te	PROP	?	BENJAMIN			BENJAMIN	BENJAMIN:23	benjamin-te	23	1		mi:3|ciang:3|hang:2|pan:2|tawm:2|pai:1|topa:1|ni:1|nei:1|no:1	07019014|07020010|07020013|07020017|07020025	0	0	0	clean			1	PROP:23	lexical	23	0	low	
thumu	thumu	UNK	trumpet	trumpet		trumpet	trumpet	trumpet:23	thumu|thumu-in|“thumu	23	3		kumpipa:3|ciang:2|hi:2|pai:1|ma:1|ahih:1|gen:1|dawng:1|topa:1|tawp:1	09009009|09009009|09009011|09009018|09009019	0	0	1	clean			1	UNK:23	lexical	23	0	low	
tuihual	tuihual	UNK	flood	flood		flood	flood	flood:23	tuihualte	23	1		hi:3|mahmah:3|ciang:3|sih:2|ging:2|huih:2|tui:1|dah:1|uk:1|thuman:1	10022005|18009008|18038011|19018004|19042007	0	0	1	clean			1	UNK:23	lexical	23	0	low	
phasa	phasa	UNK	reflexive	REFL		reflexive	REFL	REFL:23	kiphasakte	23	1		mi:18|hang:1|sam:1|don:1	10022028|18022029|18033017|18040012|19018027	0	1	1	clean			1	UNK:23	grammatical	0	23	low	
Mikaiah	Mikaiah	PROP	Mikaiah	MIKAIAH|MIKAIAH.POSS			MIKAIAH|MIKAIAH.POSS	MIKAIAH:22|MIKAIAH.POSS:1	mikaiah	23	1		ciang:9|ta:6|hang:2|pai:2|min:1|ama:1|siam:1|ahi:1	11022008|11022009|11022013|11022014|11022019	0	0	0	clean			1	PROP:23	lexical	23	0	low	
kidim	kidim	UNK	full	full		full	full	full:23	kidimin|kidimkik	23	2		siangtho:10|heh:2|lui:1|migilo:1|siat:1|lau:1|guh:1|hu:1|lung:1|ci:1	12003016|19012008|19078021|25003047|26021007	0	0	1	clean			1	UNK:23	lexical	23	0	low	
Jehoahaz	Jehoahaz	PROP	Jehoahaz	JEHOAHAZ|JEHOAHAZ.POSS			JEHOAHAZ|JEHOAHAZ.POSS	JEHOAHAZ:14|JEHOAHAZ.POSS:9	jehoahaz	23	1		ta:6|kumpi:4|ciang:2|ci:1|kum:1|pa:1|pan:1|hang:1|neu:1|uk:1	12010035|12013001|12013004|12013007|12013008	0	0	0	clean			1	PROP:23	lexical	23	0	low	
sehkhat	sehkhat	UNK	one.third	one.third		one.third	one.third	one.third:23	sehkhat|sehkhatte	23	2		sehthumsuah:15|seh:6|pha:1|suak:1	12011005|12011006|12011006|26045005|38013009	0	0	1	clean			1	UNK:23	lexical	23	0	low	
Zerubbabel	Zerubbabel	PROP	Zerubbabel	ZERUBBABEL|ZERUBBABEL.POSS			ZERUBBABEL|ZERUBBABEL.POSS	ZERUBBABEL:21|ZERUBBABEL.POSS:2	zerubbabel	23	1		ta:6|uk:3|pa:2|tapa:1|hi:1|hang:1|mi:1|nasem:1|topa:1|ahi:1	13003019|13003019|15002002|15003002|15003008	0	0	0	clean			1	PROP:23	lexical	23	0	low	
Maaseiah	Maaseiah	PROP	Maaseiah	MAASEIAH|MAASEIAH.POSS			MAASEIAH|MAASEIAH.POSS	MAASEIAH:17|MAASEIAH.POSS:6	maaseiah	23	1		ta:8|pan:5|siam:2|beh:1|lai:1|uk:1|mi:1|lian:1	13015018|13015020|14023001|14026011|14028007	0	0	0	clean			1	PROP:23	lexical	23	0	low	
itna	itna	N	love.NMLZ	REFL|love.NMLZ		love.NMLZ	REFL|love.NMLZ	REFL:22|love.NMLZ:1	itnasa|ki-itna	23	2		khat:5|u:4|lung:3|sanggam:3|hong:2|ahih:2|lian:2|pasian:2|nasem:1|zan:1	14006042|20007018|40024012|45012010|45016016	0	1	0	clean			2	N:23	grammatical	1	22	low	
mangmat	mangmat	N	dream	dream		dream	dream	dream:23	mangmat	23	1		khiat:8|hi:5|zan:4|gen:3|kumpi:3|hong:2|ahi:2|ciang:2|pai:2|aw:2	18004013|18020008|19073020|23029007|24023027	0	0	0	clean			1	N:23	lexical	23	0	low	
gimthuak	gimthuak	V	suffer	suffer		suffer	suffer	suffer:23	gimthuak|gimthuakna|gimthuakna-ah	23	3		ding:13|ci:4|hi:3|hang:2|ni:2|tawn:2|zui:2|kip:1|sia:1|sau:1	19081015|19119092|19123004|21008014|24023012	0	0	0	clean			1	V:23	lexical	23	0	low	
neihkhem	neihkhem	UNK	possess	possess.all		possess	possess.all	possess.all:23	kineihkhem|kineihkhemin	23	2		mihoih:9|kamsang:2|hong:1|deihna:1|ding:1|ciang:1|no:1|va:1|mi:1|nei:1	24003010|40006002|40006005|40006016|40007005	0	0	1	clean			1	UNK:23	lexical	23	0	low	
hell	hell	N	hell	hell		hell	hell	hell:23	hell	23	1		khuk:20|hong:7|tung:5|pumpi:3|mi:2|tun:2|hi:2|nei:2|mipa:2|meikuang:1	40005022|40005029|40005030|40007013|40010028	0	0	0	clean			1	N:23	lexical	23	0	low	
huihlak	huihlak	N	air	air		air	air	air:22	huihlak|huihlakah	22	2		va:9|thu:3|uk:3|ukte:3|hi:2|van:2|tung:1|nam:1|tu:1|sun:1	01001026|01002020|09017046|10021010|11014011	0	0	0	clean			1	N:22	lexical	22	0	low	
ihmut	ihmut	UNK	deep.sleep	deep.sleep		deep.sleep	deep.sleep	deep.sleep:22	ihmut	22	1		zan:4|ciang:3|topa:2|mi:2|tung:2|mipa:1|ama:1|nasem:1|kumpi:1|hang:1	01002021|01002021|01015012|07016014|09026012	0	0	1	clean			1	UNK:22	lexical	22	0	low	
baang	baang	UNK	alike	alike		alike	alike	alike:22	baang|baangte|baangteng	22	3		ne:3|mawh:2|den:2|tung:2|si:2|tua:1|nin:1|sa:1|nit:1|mai:1	01009023|01044010|02010012|02010015|02030035	0	0	1	clean			1	UNK:21|V:1	lexical	22	0	low	multiple_pos_variants
Gomorrah	Gomorrah	PROP	Gomorrah	GOMORRAH			GOMORRAH	GOMORRAH:22	gomorrah	22	1		khua:5|pan:2|topa:2|kumpi:2|pasian:2|dim:1|mun:1|khin:1|za:1|sa:1	01010019|01013010|01014002|01014008|01014010	0	0	0	clean			1	PROP:22	lexical	22	0	low	
gunpi	gunpi	N	river	river		river	river	river:22	gunpi	22	1		hi:6|pan:5|tui:3|khat:2|gam:2|nop:2|lei:2|lian:1|ahi:1|pasian:1	01015018|19065009|19072008|19080011|19089025	0	0	0	clean			1	N:22	lexical	22	0	low	
kiseh	kiseh	N	appoint	appoint		appoint	appoint	appoint:22	kisehin|kisehkhia|kisehkhol|kisehsa|kisehzo	22	5		ding:7|hun:4|hi:3|ahi:2|kha:2|pawi:2|lei:2|tu:1|sim:1|suahtak:1	01018014|02023015|02034018|05031010|10013032	0	0	0	clean			1	N:13|V:7|UNK:2	lexical	22	0	low	multiple_pos_variants
tawh	tawh	N	meet	meet|REFL|COM|burn|with	meet | REFL | COM	burn|flesh|meet|reflexive|trough|with	COM|REFL|burn|meet|with	meet:6|REFL:6|COM:5|burn:3|with:2	kitawh|kitawhkuang|kitawhzauna|tawhkuang|tawhna|tawhsa|tawhsa-in|tawhvang	22	8		ding:4|ama:4|mei:3|gum:3|tui:2|suang:2|kulh:2|mit:2|thu:1|pai:1	01021030|01026032|05032022|12012012|12022006	1	1	1	mixed_lex_gram			5	N:18|UNK:2|V:2	mixed	11	11	low	mixed_lex_gram_needs_split|multiple_pos_variants|polysemous_needs_sense_split
gin~gin	gin~gin	UNK	hear~REDUP	hear~REDUP		hear~REDUP	hear~REDUP	hear~REDUP:22	gingin	22	1		ciang:4|van:3|hong:3|mi:2|nam:1|pai:1|pau:1|koh:1|tung:1|za:1	01029011|01045002|02019016|09011004|09028012	0	0	1	clean			1	UNK:22	lexical	22	0	low	
natui	natui	N	discharge	discharge		discharge	discharge	discharge:22	natui	22	1		pai:15|teh:3|ahih:2|khat:2|hi:2|leilak:1|bua:1|nin:1|ninsak:1|pai~pai:1	01038009|03015002|03015002|03015003|03015003	0	0	0	clean			1	N:22	lexical	22	0	low	
khoi	khoi	UNK	nurse	nurse|call|bring|REFL		bring|call|nurse	REFL|bring|call|nurse	nurse:17|call:3|bring:1|REFL:1	khoi|khoi-in|khoisa|khoisak|kikhoi	22	5		hong:4|nau:2|lim:2|om:2|ding:1|thaman:1|khen:1|tuuno:1|sawm:1|kici:1	02002007|02002009|02002009|09001023|10012003	0	1	0	clean			4	UNK:18|V:3|N:1	lexical	21	1	low	multiple_pos_variants
bawk	bawk	N	bottle	bottle|mule		bottle|mule	bottle|mule	bottle:19|mule:3	bawk|bawkgawp|bawkgawpin|bawkte	22	4		leeng:7|khe:3|kang:2|hi:2|ding:2|za:2|pha:2|hong:2|tung:1|ahi:1	03013002|03013010|03013010|03013019|03013028	0	0	0	clean			2	N:20|DET:2	lexical	22	0	low	multiple_pos_variants
siansak	siansak	V	sanctify	sanctify|REFL	sanctify | REFL	sanctify	REFL|sanctify	sanctify:14|REFL:8	kisiansak|siansak|siansakkik|siansakna	22	4		ciang:5|ni:4|pa:3|hi:2|ding:2|ngun:2|gam:2|hang:1|no:1|pia:1	03013035|03014002|03015013|03016030|04008007	0	1	1	mixed_lex_gram			2	V:22	unresolved	14	8	low	
jubilee	jubilee	N	jubilee	jubilee		jubilee	jubilee	jubilee:22	jubilee	22	1		kum:16|hi:5|ding:4|ciang:2|hang:2|siam:2|ci:1|ahi:1|lei:1|inn:1	03025010|03025011|03025012|03025013|03025015	0	0	0	clean			1	N:22	lexical	22	0	low	
Eliab	Eliab	PROP	Eliab	ELIAB|ELIAB.POSS			ELIAB|ELIAB.POSS	ELIAB:17|ELIAB.POSS:5	eliab	22	1		ta:12|sawl:1|upa:1|u:1|tung:1|tacil:1|thum:1|beh:1|hi:1	04001009|04002002|04007024|04007029|04010016	0	0	0	clean			1	PROP:22	lexical	22	0	low	
ang	ang	N	face	face|breast|1SG|forehead|smell	face | breast | 1SG	breast|face|forehead|sit|smell	1SG|breast|face|forehead|smell	face:12|breast:7|1SG:1|forehead:1|smell:1	angsung|angtang|angtanhuai|angvan|angvanin|angvanna|kaangto	22	7		ding:5|hong:4|hi:3|pasian:3|mi:3|nei:2|tuam:2|hum:1|thu:1|sim:1	04023024|05001017|05010017|05016019|18013008	1	1	1	polysemous_review			5	N:12|UNK:7|V:3	lexical	21	1	low	multiple_pos_variants
Joel	Joel	PROP	Joel	JOEL|JOEL.POSS			JOEL|JOEL.POSS	JOEL:19|JOEL.POSS:3	joel	22	1		ta:4|ukpi:3|pa:2|sanggampa:2|mi:2|min:1|tacil:1|hi:1|tapa:1|pan:1	09008002|13004035|13005004|13005008|13005012	0	0	0	clean			1	PROP:22	lexical	22	0	low	
Khadet	Khadet	PROP	Khadet	KHADET			KHADET	KHADET:22	khadet	22	1		ni:8|hi:3|ciang:2|pawi:2|bia:1|en:1|pan:1	09020005|09020018|09020024|09020027|12004023	0	0	0	clean			1	PROP:22	lexical	22	0	low	
Nabal	Nabal	PROP	Nabal	NABAL|NABAL.POSS			NABAL|NABAL.POSS	NABAL:14|NABAL.POSS:8	nabal	22	1		ciang:4|min:2|hi:2|topa:2|khua:2|mi:2|pai:1|hang:1|khat:1|pasal:1	09025003|09025004|09025005|09025009|09025010	0	0	0	clean			1	PROP:22	lexical	22	0	low	
lok	lok	DET	shake	shake|REFL	shake | REFL	shake	REFL|shake	shake:12|REFL:10	kilok|kilokgawp|kilokzo|lok|lokgawp|lokin	22	6		ding:5|lei:3|gam:3|hi:3|mi:2|tui:2|thuk:1|nak:1|van:1|mahmah:1	10001021|10022008|13016030|18009006|19029008	0	1	1	mixed_lex_gram			2	DET:12|UNK:10	mixed	12	10	low	mixed_lex_gram_needs_split|multiple_pos_variants
vial	vial	V	knop	knop|encircle|REFL	knop | encircle | REFL	encircle|knop	REFL|encircle|knop	knop:10|encircle:10|REFL:2	kivial|kivialgawp|vial|vialcip|vialh|vialin|vialna|vialte	22	8		hi:5|ci:5|hong:4|khau:2|Israel:2|kumpi:2|suang:2|kual:2|gam:2|ling:2	11007035|11020031|11020032|12016017|18008017	1	1	1	polysemous_review			3	V:21|DET:1	lexical	20	2	low	multiple_pos_variants
bupa	bupa	N	centurion	centurion		centurion	centurion	centurion:22	bupa|bupah	22	2		gal:15|thu:4|lei:2|hi:2|inn:2|om:2|Jesuh:2|hong:2|Paul:2|bia:1	19051019|20024031|24046012|40008008|40008010	0	0	0	clean			1	N:22	lexical	22	0	low	
Nazareth	Nazareth	PROP	Nazareth	NAZARETH			NAZARETH	NAZARETH:22	nazareth	22	1		gam:4|hi:3|kamsang:1|om:1|en:1|that:1|zui:1|khan:1|kumpi:1|ngai:1	40002023|40002023|40004013|40013058|40021011	0	0	0	clean			1	PROP:22	lexical	22	0	low	
bokvak	bokvak	N	creep	creep		creep	creep	creep:21	bokvak	21	1		ganhing:14|leitung:4|gam:3|peuhmah:3|vasa:3|nam:2|lei:2|namkim:2|tui:1|si:1	01001024|01001025|01006007|01006020|01007008	0	0	0	clean			1	N:21	lexical	21	0	low	
Adam	Adam	PROP	Adam	ADAM|ADAM.POSS			ADAM|ADAM.POSS	ADAM:16|ADAM.POSS:5	adam	21	1		ciang:3|hi:2|pa:2|ci:2|nu:2|ahi:1|uk:1|letsong:1|siangtho:1|pek:1	01004025|01005001|01005003|01005004|01005005	0	0	0	clean			1	PROP:21	lexical	21	0	low	
phalbi	phalbi	N	winter	winter		winter	winter	winter:21	phalbi	21	1		hun:7|lai:4|khua:3|om:2|ding:2|ahih:2|tun:2|guah:2|tung:2|sun:1	01008022|10011001|19074017|20011028|20031021	0	0	0	clean			1	N:21	lexical	21	0	low	
Gaza	Gaza	PROP	Gaza	GAZA			GAZA	GAZA:21	gaza	21	1		pan:3|hi:3|om:2|manawh:1|gam:1|mi:1|sat:1|khat:1|khua:1|kumpi:1	01010019|05002023|06010041|06011022|06013003	0	0	0	clean			1	PROP:21	lexical	21	0	low	
nihte	nihte	UNK	two	two		two	two	two:21	nihte	21	1		kumpi:4|nu:2|ta:2|mi:2|sawltak:2|hi:1|alang:1|liang:1|puan:1|ciang:1	01017020|01031033|01033001|02022009|02028011	0	0	1	clean			1	UNK:21	lexical	21	0	low	
Maakah	Maakah	PROP	Maakah	MAAKAH|MAAKAH.POSS			MAAKAH|MAAKAH.POSS	MAAKAH:16|MAAKAH.POSS:5	maakah	21	1		min:5|ta:3|zineu:2|nu:2|gal:1|kumpi:1|pi:1|zi:1|tulnih:1|ding:1	01022024|10003003|10010006|10023034|11002039	0	0	0	clean			1	PROP:21	lexical	21	0	low	
Bethel-Ah	Bethel-Ah	PROP	?	BETHEL			BETHEL	BETHEL:21	bethel-ah	21	1		pai:4|pan:2|ding:2|ciang:2|khat:2|kithawi:1|tawn:1|hi:1|siam:1|mipa:1	01035001|01035003|06016001|07001023|07020018	0	0	0	clean			1	PROP:21	lexical	21	0	low	
khap	khap	N	forbid	forbid|loose|pledge	forbid | loose | pledge	forbid|loose|pledge	forbid|loose|pledge	forbid:12|loose:5|pledge:4	khap|khapna|khapna-in	21	3		hong:5|ding:4|ahi:3|la:3|van:3|pua:1|khat:1|pan:1|nate:1|ci:1	01038017|01038018|01038020|02022026|03006002	1	0	1	polysemous_review			3	N:16|UNK:5	lexical	21	0	low	multiple_pos_variants
naupa	naupa	N	younger.sibling	younger.sibling|younger.sibling.POSS		younger.sibling	younger.sibling|younger.sibling.POSS	younger.sibling:17|younger.sibling.POSS:4	naupa	21	1		ta:5|zi:4|Andru:3|Johan:3|ciang:2|Kenaz:2|pa:2|hang:2|thei:2|meigong:2	01048019|07001013|07003009|40010002|40010002	0	0	0	clean			1	N:21	lexical	21	0	low	
sek	sek	N	hammer	hammer|REFL|rest		hammer|rest	REFL|hammer|rest	hammer:17|REFL:3|rest:1	kisekin|kisekzo|sek|sek-hei|sekpi|seksa	21	6		ahi:3|sat:3|mi:3|seek:2|khat:2|pa:2|hi:2|tawi:2|sin:2|khut:1	02037007|07004021|11006007|19074006|19074006	0	1	0	clean			3	N:21	unresolved	18	3	low	
vok	vok	N	swine	swine|pig	swine | pig	pig|swine	pig|swine	swine:11|pig:10	vok|vokpi|voksa|vokte|“vok	21	5		hon:5|lut:5|hi:4|pai:3|khecin:2|hua:2|thu:2|melhoih:1|mu:1|mi:1	03011007|05014008|20011022|23065004|23066003	1	0	1	polysemous_review			2	N:21	lexical	21	0	low	
lip	lip	V	freedom	freedom|ruin|scale	freedom | ruin | scale	freedom|ruin|scale	freedom|ruin|scale	freedom:10|ruin:8|scale:3	lip|lipkhap|lipkhaphuai|lipkhaphuai-in|lipneite|lipte	21	6		ding:6|nei:5|hong:3|om:2|pan:2|mite:2|koih:2|zehphit:2|mei:1|ci:1	03011009|03011010|03011012|05014009|05014010	1	0	1	polysemous_review			3	V:21	lexical	21	0	low	
tulguk	tulguk	N	six.thousand	six.thousand		six.thousand	six.thousand	six.thousand:21	tulguk	21	1		mi:5|za:4|zang:3|bawng:3|gal:3|hi:2|nungak:2|ahi:2|kham:2|nga:2	04001016|04002002|04002002|04003034|04026022	0	0	0	clean			1	N:21	lexical	21	0	low	
Og	Og	PROP	Og	OG|OG.POSS			OG|OG.POSS	OG:15|OG.POSS:6	og	21	1		kumpi:14|gam:3|ahi:2|om:1|uk:1	04021033|04032033|05003001|05003003|05003004	0	0	0	clean			1	PROP:21	lexical	21	0	low	
Midian-Te	Midian-Te	PROP	?	MIDIAN			MIDIAN	MIDIAN:21	midian-te	21	1		hi:5|ci:2|mite:1|ding:1|thupiak:1|topa:1|tung:1|ciang:1|paa:1|pai:1	04031002|04031003|04031007|07006001|07006002	0	0	0	clean			1	PROP:21	lexical	21	0	low	
Ekron	Ekron	PROP	Ekron	EKRON			EKRON	EKRON:21	ekron	21	1		hi:3|gam:2|ding:2|lam:1|sing:1|ciang:1|khua:1|pan:1|thu:1|pai:1	06013003|06013003|06015011|06015045|06015046	0	0	0	clean			1	PROP:21	lexical	21	0	low	
Ramah	Ramah	PROP	Ramah	RAMAH			RAMAH	RAMAH:21	ramah	21	1		ciang:5|en:2|tung:2|thei:2|lam:2|gam:1|pan:1|tum:1|aw:1	06018025|06019036|07004005|09019019|09019022	0	0	0	clean			1	PROP:21	lexical	21	0	low	
Kish	Kish	PROP	Kish	KISH|KISH.POSS			KISH|KISH.POSS	KISH:13|KISH.POSS:8	kish	21	1		pa:6|ta:3|ciang:3|ai:1|tapa:1|tanau:1|nei:1|mi:1|pan:1	09009001|09009003|09009003|09010021|09014051	0	0	0	clean			1	PROP:21	lexical	21	0	low	
hangtakin	hangtakin	N	boldly	boldly		boldly	boldly	boldly:21	hangtakin	21	1		thu:9|min:3|gen:3|khua:2|hilh:2|inn:2|mai:2|om:2|hi:1|gam:1	09014048|27011025|41015043|44009027|44009028	0	0	0	clean			1	N:21	lexical	21	0	low	
Akhish	Akhish	PROP	Akhish	AKHISH|AKHISH.POSS			AKHISH|AKHISH.POSS	AKHISH:20|AKHISH.POSS:1	akhish	21	1		ciang:7|kumpi:2|ta:2|hi:2|khua:1|puan:1|mi:1|ding:1	09021010|09021011|09021012|09021014|09027002	0	0	0	clean			1	PROP:21	lexical	21	0	low	
Hadadezer	Hadadezer	PROP	?	HADADEZER.POSS|HADADEZER	HADADEZER.POSS | HADADEZER		HADADEZER|HADADEZER.POSS	HADADEZER.POSS:11|HADADEZER:10	hadadezer	21	1		kumpi:6|ciang:5|ta:2|ci:2|hi:1|sam:1	10008003|10008005|10008007|10008008|10008009	1	0	1	polysemous_review			1	PROP:21	lexical	21	0	low	
pei	pei	N	wheel	wheel|REFL		wheel	REFL|wheel	wheel:20|REFL:1	kipei|pei|pei-in|peigawpin|peisan|peisanin|peite	21	7		hong:6|hi:4|lu:4|pingpei:2|buh:2|hual:2|sakol:1|zawl:1|thu:1|ding:1	11007033|11007033|12019021|18016004|19022007	0	1	0	clean			2	N:14|V:6|DET:1	lexical	20	1	low	multiple_pos_variants
Naboth	Naboth	PROP	Naboth	NABOTH|NABOTH.POSS			NABOTH|NABOTH.POSS	NABOTH:13|NABOTH.POSS:8	naboth	21	1		khua:7|mun:2|mi:2|ciang:1|hang:1|om:1|suang:1|ci:1|pai:1|hi:1	11021001|11021002|11021003|11021004|11021006	0	0	0	clean			1	PROP:21	lexical	21	0	low	
Sairas	Sairas	PROP	Sairas	SAIRAS|SAIRAS.POSS			SAIRAS|SAIRAS.POSS	SAIRAS:13|SAIRAS.POSS:8	sairas	21	1		kumpi:16|pa:1|mi:1	14036022|14036022|14036023|15001001|15001001	0	0	0	clean			1	PROP:21	lexical	21	0	low	
lawmte	lawmte	UNK	Lawmte	LAWMTE|worthy		friend|worthy	LAWMTE|worthy	LAWMTE:11|worthy:10	lawmte|“lawmte	21	2		en:2|ciang:2|ding:2|lai:1|om:1|nuam:1|hang:1|phawkkha:1|ahi:1|gen:1	15004023|20025018|20025025|20027009|24020004	0	0	1	clean			2	UNK:21	lexical	21	0	low	
leen	leen	V	fly	fly|whirlwind|lean|swoop|wine		fly|lean|swoop|whirlwind|wine	fly|lean|swoop|whirlwind|wine	fly:13|whirlwind:3|lean:2|swoop:2|wine:1	leen|leenin|leenkawmin|leenkhia|leenkhia-in|leenkhiamang|leenkhiat|leenlak|leenmang|leenna|leenpih|leenpihin|leenpihto|leensak	21	14		ding:6|huih:4|ciang:4|hi:3|gam:3|mi:2|hong:2|thei:2|to:1|inn:1	18005007|18027021|18027021|18027022|18030022	0	0	0	clean			5	V:21	lexical	21	0	low	
sunthapai	sunthapai	N	long	long		long	long	long:21	sunthapai|sunthapai-in	21	2		ding:4|gen~gen:3|hang:3|lung:2|hong:2|gal:2|khuamial:1|thuak:1|ciang:1|tautau:1	18005014|19013002|19032003|19035028|19038006	0	0	0	clean			1	N:21	lexical	21	0	low	
thuciamna	thuciamna	N	promise	promise		promise	promise	promise:21	thuciamnasa|thuciamnate	21	2		tung:6|pasian:4|pia:3|ding:2|bawl:2|za:2|mawk:2|tungsak:1|topa:1|siangtho:1	18022027|19012006|19050014|19061005|19061008	0	0	0	clean			1	N:21	lexical	21	0	low	
Efesa	Efesa	PROP	Efesa	EFESA			EFESA	EFESA:21	efesa	21	1		hi:2|ciang:1|vai:1|khat:1|deihna:1|hong:1|hang:1|aw:1|ngaihsun:1|pan:1	44018019|44018021|44018024|44018027|44019001	0	0	0	clean			1	PROP:21	lexical	21	0	low	
mihing	mihing	N	human	human.POSS		human	human.POSS	human.POSS:20	mihing|“mihing	20	2		ding:5|ci:4|lung:3|ta:3|thu:2|hi:2|huh:2|ngai:2|namsau:2|aw:2	01008021|01008021|04023019|13021013|14006030	0	0	0	clean			1	N:20	lexical	20	0	low	
filistia	filistia	UNK	Filistia	FILISTIA			FILISTIA	FILISTIA:20	(filistia|“filistia|“filistia-te	20	3		mi:3|thu:3|ciang:2|pa:1|pai:1|ama:1|hen:1|khen:1|nu:1|dawng:1	01010014|07014002|07015011|07015012|07016009	0	0	1	clean			1	UNK:20	lexical	20	0	low	
beng	beng	UNK	companion	companion|hunt|side	companion | hunt | side	companion|hunt|side	companion|hunt|side	companion:13|hunt:6|side:1	beng|bengin|bengkhia|bengte|bengtumsuk	20	5		ngasa:7|ding:3|khut:3|sa:2|pa:2|hong:2|va:1|vak:1|lak:1	01027003|01027005|05028026|09026020|11022024	1	0	1	polysemous_review			3	UNK:18|V:2	lexical	20	0	low	multiple_pos_variants
nupi	nupi	UNK	woman	woman|NUPI		mother|woman	NUPI|woman	woman:19|NUPI:1	nupite|“nupi	20	2		to:1|vatgawp:1|lu:1|ciang:1|veng:1|om:1|hi:1|buak:1|mei:1|gal:1	01033005|04031009|07021010|08001019|08004014	0	0	1	clean			2	UNK:20	lexical	20	0	low	
Naaman	Naaman	PROP	Naaman	NAAMAN|NAAMAN.POSS			NAAMAN|NAAMAN.POSS	NAAMAN:18|NAAMAN.POSS:2	naaman	20	1		ciang:3|tapa:2|hi:2|pan:2|uk:1|nu:1|nasem:1|leeng:1|hang:1|tai:1	01046021|04026040|04026040|04026040|12005001	0	0	0	clean			1	PROP:20	lexical	20	0	low	
ukte	ukte	UNK	rule	rule		rule	rule	rule:20	ukte	20	1		gam:11|huihlak:3|za:2|nasem:1|tawm:1|inn:1|hong:1	02003007|04031052|07005009|11020014|11020015	0	0	1	clean			1	UNK:20	lexical	20	0	low	
paisak	paisak	V	send	send|REFL		send	REFL|send	send:18|REFL:2	kipaisak|paisakin|paisakkik|paisakna	20	4		hong:18|ding:2|topa:2|hi:2|thu:2|mi:1|pasian:1|mai:1|phut:1|sanggam:1	02005002|02005003|02005008|02023027|05030012	0	1	0	clean			2	V:20	lexical	18	2	low	
phia	phia	UNK	bright	bright|gather		bright|gather	bright|gather	bright:19|gather:1	phia|phia-in|phialun|phiasak|phiasakin	20	5		khua:15|hi:2|hong:2|tai:1|ahi:1|leimong:1|sawl:1|gal:1|thehthang:1|huihkua:1	02009024|02019016|10022015|18036030|18037003	0	0	1	clean			2	UNK:11|V:9	lexical	20	0	low	multiple_pos_variants
bullen	bullen	UNK	bull	bull		bull	bull	bull:20	bullente	20	1		khuam:13|hi:4|sum:1|bawl:1|ding:1	02027017|02027018|02035011|02035017|02036030	0	0	1	clean			1	UNK:20	lexical	20	0	low	
peng	peng	V	break.into	break.into|spare|wing|REFL		break.into|spare|wing	REFL|break.into|spare|wing	break.into:14|spare:3|wing:2|REFL:1	kipengsak|peng|pengin|pengpelep|pengsak|pengthei	20	6		pan:6|ding:5|nasep:5|va:2|vatawt:2|mu:2|ahi:2|om:2|sia:1|bawl:1	03011016|05014015|09017025|09026009|11015022	0	1	0	clean			4	V:20	lexical	19	1	low	
