sense_id	lemma	sense_num	pos	gloss	frequency	is_primary	is_grammatical	inflected_forms	example_verses	notes
Kohath.1	Kohath	1	PROP	?	31	1	0	Kohath	01046011|02006016|02006018	
aisan.1	aisan	1	N	magician	31	1	0	aisan	02007011|02022018|03019026	
denglum.1	denglum	1	N	stone	24	1	0	denglum	03020002|03024014|03024016	
denglum.2	denglum	2	FUNC	REFL	7	0	1	ki	02019013|02021028|02021029	
te.1	te	1	FUNC	REFL	28	1	1	ki	02027002|02029012|02030002	
te.2	te	2	FUNC	PL	3	0	1			
zo.1	zo	1	FUNC	REFL	23	1	1	ki	02031015|03023003|09004010	
zo.2	zo	2	V	able	6	0	0	zo	10024004	
zo.3	zo	3	V	south	1	0	0	zo	10007009	
zo.4	zo	4	V	finish	1	0	0			
phaknat.1	phaknat	1	N	leprosy	31	1	0	phaknat	03013002|03013003|03013008	
lai~lai.1	lai~lai	1	UNK	middle~REDUP	31	1	0	lai~lai	04014011|09012019|10019029	
khul.1	khul	1	FUNC	REFL	16	1	1	ki	21007006|27003006|27003011	
khul.2	khul	2	N	fire	14	0	0	khul	04019006|24022007|24036023	
khul.3	khul	3	N	bow	1	0	0	khul	40005022	
Gibeon.1	Gibeon	1	PROP	?	31	1	0	Gibeon	06009003|06009017|06010001	
Nathan.1	Nathan	1	PROP	?	31	1	0	Nathan	10005014|10007002|10007003	
Amaziah.1	Amaziah	1	PROP	?	31	1	0	Amaziah	12012021|12013012|12014001	
mawknapi.1	mawknapi	1	N	vanity	31	1	0	mawknapi	18021034|18035016|21001002	
khristian.1	khristian	1	N	brother	31	1	0	Khristian	44011026|44026028|45012013	
zah~zah.1	zah~zah	1	UNK	fear~REDUP	30	1	0	zah~zah	01009010|01034012|01044001	
tawsaw.1	tawsaw	1	N	oak	30	1	0	tawsaw	01012006|01018001|01035004	
hihte.1	hihte	1	UNK	this	30	1	0	Hihte	01032002|01046015|01046018	
hoh.1	hoh	1	N	today	30	1	0	hoh	01034012|01034023|01039012	
buh.1	buh	1	N	rice	12	1	0	buh	01041005|01041022|01041026	
buh.2	buh	2	N	sheaf	8	0	0	buh	01037007|01037007|01037007	
buh.3	buh	3	N	grain	6	0	0	buh	01050010|01050011|23028027	
buh.4	buh	4	N	straw	4	0	0			
suangpek.1	suangpek	1	N	table	30	1	0	suangpek	02024012|02031018|02031018	
bung.1	bung	1	N	tablet	28	1	0	bung	02030024|03007009|03019036	
bung.2	bung	2	N	cave	2	0	0	bung	18018008	
tulnga.1	tulnga	1	N	five.thousand	30	1	0	tulnga	04001016|04001016|04002002	
Heshbon.1	Heshbon	1	PROP	?	30	1	0	Heshbon	04021025|04021026|04021028	
leiba.1	leiba	1	N	debt	30	1	0	Leiba|leiba	05015001|05015002|09022002	
bual.1	bual	1	N	pool	25	1	0	bual	10002013|10002013|10002013	
bual.2	bual	2	N	lake	4	0	0	bual	05033023|19084006|19107035	
bual.3	bual	3	N	garden	1	0	0			
zel~zel.1	zel~zel	1	UNK	return~REDUP	30	1	0	zel~zel	09003021|09017015|09017016	
nawng.1	nawng	1	FUNC	2SG	19	1	1	nawng	09014006|09014029|09028015	
nawng.2	nawng	2	N	wrong	9	0	0	nawng	18040021|20004012|23035007	
nawng.3	nawng	3	FUNC	REFL	2	0	1	ki	10007010|13017008	
Persia.1	Persia	1	PROP	?	30	1	0	Persia	14036020|14036022|14036022	
singgah.1	singgah	1	UNK	hang	29	1	0	singgah	01001011|01003001|01003003	
bok.1	bok	1	V	fall	25	1	0	bok	01024011|04024009|06005014	
bok.2	bok	2	V	creep	3	0	0	bok	01001026|01001030|01007023	
bok.3	bok	3	FUNC	REFL	1	0	1	ki	19038006	
kikhen.1	kikhen	1	V	separate	29	1	0	kikhen	01002010|06003016|06022009	
tawlet.1	tawlet	1	N	window	29	1	0	tawlet	01008006|01026008|06002015	
melhoih.1	melhoih	1	N	fair	29	1	0	melhoih	01012011|01029017|05021011	
isaac.1	isaac	1	UNK	?	29	1	0	Isaac'	01022006|01024002|01025019	
vom.1	vom	1	N	black	25	1	0	vom	01030032|01030033|01030035	
vom.2	vom	2	N	brown	3	0	0	vom	01030040|09017036	
vom.3	vom	3	FUNC	REFL	1	0	1	ki	23003020	
Korah.1	Korah	1	PROP	?	29	1	0	Korah	01036005|01036014|01036016	
manasseh.1	manasseh	1	UNK	?	29	1	0	Manasseh'	01048013|01048014|01048017	
dong.1	dong	1	FUNC	REFL	15	1	1	ki	02005014|02018007|02022016	
dong.2	dong	2	V	collect	6	0	0	dong	24021002|24037007|37002012	
dong.3	dong	3	V	stumble	4	0	0			
dong.4	dong	4	V	way	2	0	0	dong	23057014|24012001	
dong.5	dong	5	V	beat	2	0	0	dong	24023037|40022034	
vil.1	vil	1	N	watch	20	1	0	vil	02027021|04003032|05032011	
vil.2	vil	2	N	observe	5	0	0	vil	02012042|02012042|13009027	
vil.3	vil	3	N	vow	2	0	0	vil	03027002	
vil.4	vil	4	FUNC	REFL	1	0	1	ki	10020003	
vil.5	vil	5	N	round	1	0	0	vil	25004018	
gum.1	gum	1	N	pit	28	1	0	gum	02014025|10020011|18018008	
gum.2	gum	2	N	slave	1	0	0			
sabbath.1	sabbath	1	UNK	?	29	1	0	Sabbath|sabbath	02016023|02016026|02016029	
baihsa.1	baihsa	1	UNK	already	29	1	0	baihsa	02019011|02019015|06004013	
bot.1	bot	1	V	pluck	21	1	0	bot	03001016|05027017|07016003	
bot.2	bot	2	V	break	4	0	0	bot	07016009|07016012|19107014	
bot.3	bot	3	FUNC	REFL	4	0	1	ki	19124007|23038012	
mawk~mawk.1	mawk~mawk	1	UNK	vain~REDUP	29	1	0	mawk~mawk	03004027|03010010|03013006	
phah.1	phah	1	V	spread	21	1	0	phah	04004007|04004013|05022017	
phah.2	phah	2	FUNC	REFL	8	0	1	ki	04024006|07007013|09009025	
Joram.1	Joram	1	PROP	?	29	1	0	Joram	10008010|10008010|12001017	
Josiah.1	Josiah	1	PROP	?	29	1	0	Josiah	11013002|12021024|12021026	
job.1	job	1	UNK	?	29	1	0	Job|Job'	18001009|18002011|18011013	
Timoti.1	Timoti	1	PROP	?	29	1	0	Timoti	44016001|44016002|44016003	
Lot.1	Lot	1	PROP	cast	28	1	0	Lot	01011031|01012004|01012005	
Seir.1	Seir	1	PROP	?	28	1	0	Seir	01014006|01032003|01036008	
dawntuah.1	dawntuah	1	V	meet	28	1	0	dawntuah	01024017|02004024|06009011	
zekai.1	zekai	1	N	tarry	27	1	0	zekai	01024056|01034019|01043010	
zekai.2	zekai	2	FUNC	REFL	1	0	1			
khuang.1	khuang	1	N	drum	22	1	0	khuang	01031027|02015020|02015020	
khuang.2	khuang	2	FUNC	REFL	4	0	1	ki	11017021|12004034|12004035	
khuang.3	khuang	3	N	tabret	1	0	0	khuang	24031004	
khuang.4	khuang	4	N	cock	1	0	0	khuang	40026074	
khuampeek.1	khuampeek	1	UNK	cubit	28	1	0	khuampeek	02026016|02026017|02026017	
kawikawi.1	kawikawi	1	V	crooked	24	1	0	kawikawi	02032027|04011008|07011037	
kawikawi.2	kawikawi	2	V	to.and.fro	4	0	0	kawikawi	04032013|20020019|22003003	
kingah.1	kingah	1	N	obtain	28	1	0	kingah	02038025|03022025|04031027	
them.1	them	1	N	dawn	16	1	0	them	05017018|18007018|18020007	
them.2	them	2	N	one	7	0	0	them	07008002|18009017|18034021	
them.3	them	3	N	scrape	4	0	0	them	03014041|23030014|26023034	
them.4	them	4	N	purpose	1	0	0			
jessi.1	jessi	1	UNK	?	28	1	0	Jessi'	08004017|08004022|09016006	
jehoiada.1	jehoiada	1	UNK	?	28	1	0	Jehoiada'	10008018|10020023|10023020	
hezekiah.1	hezekiah	1	UNK	?	28	1	0	Hezekiah|Hezekiah'	12018009|12018010|12018013	
josiah.1	josiah	1	UNK	?	28	1	0	Josiah'	12022003|12023023|12023028	
pumkhat.1	pumkhat	1	N	body	28	1	0	pumkhat	14029024|19086011|19133001	
Ezra.1	Ezra	1	PROP	?	28	1	0	Ezra	15007001|15007006|15007007	
sialh.1	sialh	1	FUNC	REFL	28	1	1	ki	18031036|23010012|23016006	
numeite.1	numeite	1	UNK	woman	27	1	0	Numeite|Numeite'|numeite'	01024011|01027046|02038008	
midian.1	midian	1	UNK	?	27	1	0	Midian|Midian'|midian	01025004|04025017|04031002	
phal.1	phal	1	V	shut	11	1	0	phal	01031007|04022013|05018014	
phal.2	phal	2	V	permit	9	0	0	phal	09030017|12007005|12007007	
phal.3	phal	3	FUNC	REFL	5	0	1	ki	24036005|40018018	
phal.4	phal	4	V	allow	2	0	0	phal	23058008	
khek.1	khek	1	N	change	19	1	0	khek	01035002|01041014|03027010	
khek.2	khek	2	N	exchange	3	0	0	khek	01047016|01047017|01047017	
khek.3	khek	3	N	fail	2	0	0	khek	03027010|03027033	
khek.4	khek	4	FUNC	REFL	2	0	1	ki	18016004	
khek.5	khek	5	N	mark	1	0	0			
haltum.1	haltum	1	N	firebrand	27	1	0	haltum	02012010|06011011|11014010	
paak.1	paak	1	V	share	18	1	0	paak	02025031|02025034|02037017	
paak.2	paak	2	FUNC	REFL	4	0	1	ki	19021006|19035027|19086004	
paak.3	paak	3	V	white	3	0	0	paak	21009008	
paak.4	paak	4	V	glad	2	0	0	paak	18014002|28014005	
tulsagih.1	tulsagih	1	N	seven.thousand	27	1	0	tulsagih	04001016|04002002|04002017	
Kaleb.1	Kaleb	1	PROP	?	27	1	0	Kaleb	04013003|04013030|04014024	
galvil.1	galvil	1	N	war.camp	27	1	0	Galvil|galvil	07007019|07008011|10013034	
Uriah.1	Uriah	1	PROP	?	27	1	0	Uriah	10011006|10011006|10011007	
Azariah.1	Azariah	1	PROP	?	27	1	0	Azariah	11004002|11004005|13002008	
lawp.1	lawp	1	N	lap	12	1	0	lawp	16002018|18039024|42024032	
lawp.2	lawp	2	N	rejoice	10	0	0	lawp	18039021|19119032|19130005	
lawp.3	lawp	3	N	shake	5	0	0	lawp	28011011|45015027|47008011	
pah~pah.1	pah~pah	1	UNK	immediately~REDUP	23	1	0	pah~pah	01002019|02001019|09014052	
pah~pah.2	pah~pah	2	UNK	honor~REDUP	3	0	0	pah~pah	20029022	
suanlekhakte.1	suanlekhakte	1	UNK	genealogy	26	1	0	suanlekhakte'	01005001|01017007|01017010	
Hiv.1	Hiv	1	PROP	?	26	1	0	Hiv	01010017|01034002|01036002	
minthan.1	minthan	1	V	bless	21	1	0	minthan|minthan'	01011004|13016035|14018001	
minthan.2	minthan	2	V	glory	4	0	0	minthan	19063002|19145012|27004036	
minthan.3	minthan	3	FUNC	REFL	1	0	1	ki	23061003	
makaih.1	makaih	1	N	leader	26	1	0	makaih	01014014|01033014|05029005	
kicing.1	kicing	1	V	enough	26	1	0	kicing	01015015|02009028|02022014	
gitloh.1	gitloh	1	N	wick	26	1	0	gitloh	01019007|07019023|11008047	
Beersheba.1	Beersheba	1	PROP	?	26	1	0	Beersheba	01021014|01021031|01026033	
ek.1	ek	1	N	dung	25	1	0	ek	01022003|02029014|03004011	
ek.2	ek	2	N	excrement	1	0	0			
zuat.1	zuat	1	V	prepare	26	1	0	zuat	01024027|04014024|05001019	
daitui.1	daitui	1	N	dew	26	1	0	Daitui|daitui	01027028|01027039|02016013	
Mizpah.1	Mizpah	1	PROP	?	26	1	0	Mizpah	01031049|06011003|07011011	
balnen.1	balnen	1	UNK	tear	24	1	0	balnen	03002006|11013026|11013028	
balnen.2	balnen	2	FUNC	REFL	2	0	1	ki	01037033|27003029	
Tamar.1	Tamar	1	PROP	?	26	1	0	Tamar	01038006|01038011|01038024	
tavuan.1	tavuan	1	N	bear	26	1	0	tavuan	01038008|04007009|04011011	
vul.1	vul	1	V	flourish	20	1	0	vul	18024024|19001003|19037002	
vul.2	vul	2	V	faint	6	0	0	vul	01047013|18019010|19068009	
mal.1	mal	1	V	be.dry	23	1	0	mal	02005018|02038021|03013030	
mal.2	mal	2	V	bless	3	0	0	mal	04015012|13009028|15001008	
phualpi.1	phualpi	1	N	merchant.city	26	1	0	phualpi	06008013|18039028|19048011	
Eli.1	Eli	1	PROP	?	26	1	0	Eli	09001009|09001012|09001013	
jonathan.1	jonathan	1	UNK	?	26	1	0	Jonathan'	09014039|09014041|09019006	
joab.1	joab	1	UNK	?	26	1	0	Joab|Joab'	09026006|10002022|10003029	
Jehoiakim.1	Jehoiakim	1	PROP	?	26	1	0	Jehoiakim	12023034|12023035|12023036	
Baruk.1	Baruk	1	PROP	?	26	1	0	Baruk	16003020|16010006|16011005	
ak.1	ak	1	N	then	15	1	0	Ak|ak	16005018|25004019|40026034	
ak.2	ak	2	FUNC	REFL	8	0	1	ki	18024024|18031040|20024031	
ak.3	ak	3	N	egg	3	0	0	ak	18006006|42011012	
hahkat.1	hahkat	1	N	man	26	1	0	hahkat	16006009|18028003|20002003	
Grik.1	Grik	1	PROP	?	26	1	0	Grik	26027006|27008021|27010019	
Jonah.1	Jonah	1	PROP	?	26	1	0	Jonah	32001001|32001003|32001005	
teekteek.1	teekteek	1	UNK	god	25	1	0	teekteek	01007013|02012017|02012041	
Nineveh.1	Nineveh	1	PROP	?	25	1	0	Nineveh	01010011|01010012|23037037	
Elam.1	Elam	1	PROP	?	25	1	0	Elam	01010022|01014001|13001017	
kheng.1	kheng	1	N	divide	12	1	0	kheng	01031052|01031052|03015025	
kheng.2	kheng	2	N	proud	9	0	0	kheng	01018003|05017013|07003026	
kheng.3	kheng	3	N	lean	2	0	0	kheng	20006025|44027009	
kheng.4	kheng	4	N	spring	1	0	0	kheng	23042009	
kheng.5	kheng	5	N	row	1	0	0	kheng	41006048	
Rebekah.1	Rebekah	1	PROP	?	25	1	0	Rebekah	01024015|01024029|01024045	
Leah.1	Leah	1	PROP	?	25	1	0	Leah	01029016|01029023|01029024	
phawkkik.1	phawkkik	1	N	memorial	25	1	0	phawkkik	01041009|04005015|04005018	
so.1	so	1	N	?	10	1	0	so	02022024|05031017|09011006	
so.2	so	2	N	anger	5	0	0	so	01044018|18019011|23042013	
so.3	so	3	N	send	3	0	0	so	07009031	
so.4	so	4	FUNC	REFL	3	0	1	ki	19035023|19124003|23051017	
so.5	so	5	N	go	3	0	0	so	20003028	
so.6	so	6	N	north	1	0	0	so	24001014	
kuaitan.1	kuaitan	1	V	break	23	1	0	kuaitan	02012046|02013013|02034013	
kuaitan.2	kuaitan	2	FUNC	REFL	2	0	1	ki	23036006	
dok.1	dok	1	V	draw	22	1	0	dok	02015009|02022025|03026033	
dok.2	dok	2	FUNC	REFL	3	0	1	ki	13021016|23021015|23033020	
huhpa.1	huhpa	1	V	helper	25	1	0	huhpa	02018004|05033007|11022047	
zumhuai.1	zumhuai	1	N	shame	25	1	0	zumhuai	03020017|05022014|05022017	
giat.1	giat	1	N	hate	25	1	0	giat	03025022|11006038|11012032	
hazat.1	hazat	1	V	jealousy	14	1	0	hazat	05029020|19078058|20014030	
hazat.2	hazat	2	V	jealous	10	0	0	hazat	04011029|05032016|05032021	
hazat.3	hazat	3	FUNC	REFL	1	0	1	ki	45013013	
pho.1	pho	1	FUNC	REFL	11	1	1	ki	24008002|26016055|26021024	
pho.2	pho	2	V	uncover	9	0	0	pho	11017018|18020027|23057012	
pho.3	pho	3	V	spread	5	0	0	pho	04011032|20012023|26026005	
Arnon.1	Arnon	1	PROP	?	25	1	0	Arnon	04021013|04021013|04021014	
pial.1	pial	1	V	stray	11	1	0	pial	18015017|19119010|19119118	
pial.2	pial	2	V	turn	8	0	0	pial	04022023|11009006|20004027	
pial.3	pial	3	V	show	6	0	0	pial	19040004|19119021|20013019	
khebai.1	khebai	1	N	foreign	13	1	0	khebai	10005006|10005008|10005008	
khebai.2	khebai	2	N	lame	12	0	0	Khebai|khebai	05015021|18029015|20025019	
gilgal.1	gilgal	1	UNK	?	25	1	0	gilgal	06004019|06004020|06005010	
Karmel.1	Karmel	1	PROP	?	25	1	0	Karmel	06012022|06015055|06019026	
Adonijah.1	Adonijah	1	PROP	?	25	1	0	Adonijah	10003004|11001005|11001007	
maizum.1	maizum	1	V	face	25	1	0	maizum	10019005|19025020|19031001	
Jehoiada.1	Jehoiada	1	PROP	?	25	1	0	Jehoiada	12011004|12011009|12011015	
Gedaliah.1	Gedaliah	1	PROP	?	25	1	0	Gedaliah	12025022|12025023|12025023	
Jeshua.1	Jeshua	1	PROP	?	25	1	0	Jeshua	13024011|14031015|15002002	
gamla.1	gamla	1	N	territory	24	1	0	ki	16004019|18021016|18022018	
gamla.2	gamla	2	N	wilderness	1	0	0	gamlat	19103012	
zion.1	zion	1	UNK	?	25	1	0	zion	19009011|19065001|19084007	
kisialh.1	kisialh	1	UNK	glory	25	1	0	kisialh	19094004|20025014|23020005	
Masedonia.1	Masedonia	1	PROP	?	25	1	0	Masedonia	44016009|44016010|44016012	
dawk.1	dawk	1	V	open	11	1	0	dawk	06015005|06018019|09014005	
dawk.2	dawk	2	FUNC	REFL	8	0	1	ki	01001009|01008005|01030037	
dawk.3	dawk	3	V	bind	4	0	0	dawk	01038028|07006021	
dawk.4	dawk	4	V	appear	1	0	0	dawk	23020004	
pung.1	pung	1	V	increase	23	1	0	Pung|pung	01008017|01009001|01009007	
pung.2	pung	2	FUNC	REFL	1	0	1	ki	12002019	
sanggamte.1	sanggamte	1	UNK	brother	20	1	0	sanggamte'	01009025|01027029|01027029	
sanggamte.2	sanggamte	2	UNK	?	4	0	0	Sanggamte	01029004	
Tarshish.1	Tarshish	1	PROP	?	24	1	0	Tarshish	01010004|11010022|11010022	
pusuah.1	pusuah	1	N	lord	23	1	0	pusuah	01014018|02028035|02034034	
pusuah.2	pusuah	2	FUNC	REFL	1	0	1	ki	44005034	
kikhat.1	kikhat	1	N	one.heart	24	1	0	kikhat	01020012|02024003|06009002	
huk.1	huk	1	N	cover	14	1	0	huk	01029002|23057008|24013027	
huk.2	huk	2	N	bark	6	0	0	huk	01030041|16004007|24002023	
huk.3	huk	3	FUNC	REFL	2	0	1	ki	43011038|43020001	
huk.4	huk	4	N	snuff	1	0	0	huk	24002024	
huk.5	huk	5	N	shelter	1	0	0	huk	26023027	
khel.1	khel	1	V	hollow	17	1	0	khel	01031007|01032025|01032032	
khel.2	khel	2	FUNC	REFL	3	0	1	ki	24023014	
khel.3	khel	3	V	deceive	2	0	0	khel	13010004|44007019	
khel.4	khel	4	V	pick	1	0	0	khel	20030017	
khel.5	khel	5	V	err	1	0	0	khel	24026019	
ven.1	ven	1	V	protect	20	1	0	ven'	01038012|04016050|09025037	
ven.2	ven	2	FUNC	EMPH	3	0	1	ve'n	12006005|14018014|24022029	
ven.3	ven	3	FUNC	3SG	1	0	1	a	30001005	
dau.1	dau	1	V	war	24	1	0	dau	01039023|05023006|05029009	
buang.1	buang	1	V	divide	21	1	0	buang	02003019|04035033|18014007	
buang.2	buang	2	V	be.confused	3	0	0	buang	06015019|26047005|41014019	
meivak.1	meivak	1	UNK	torch	21	1	0	meivak	02025006|02025037|02030007	
meivak.2	meivak	2	UNK	?	3	0	0	Meivak	02027020|03024002	
kihei.1	kihei	1	V	turn	21	1	0	kihei	02032008|05009012|05009016	
kihei.2	kihei	2	V	?	3	0	0	Kihei	09022017|09022018|23030015	
kua.1	kua	1	N	who	24	1	0	kua	03025022|12015013|12015017	
pam.1	pam	1	V	all	9	1	0	pam	04025011|04025011|04025013	
pam.2	pam	2	V	restore	6	0	0	pam	24030017|25005020|40009013	
pam.3	pam	3	V	fold	5	0	0	pam	19142004|27009016|38007007	
pam.4	pam	4	V	zealous	2	0	0	pam	04025011|19072014	
pam.5	pam	5	V	arm	2	0	0	pam	15001006|24049005	
thahat.1	thahat	1	V	strengthen	24	1	0	thahat	07003012|07016028|16008010	
hoi.1	hoi	1	V	arrange	24	1	0	hoi	07009003|18008015|19060003	
Jefthah.1	Jefthah	1	PROP	?	24	1	0	Jefthah	07011001|07011002|07011003	
Abijah.1	Abijah	1	PROP	?	24	1	0	Abijah	09008002|11014001|13003010	
absalom.1	absalom	1	UNK	?	24	1	0	Absalom|Absalom'	10013004|10013020|10013029	
nebat.1	nebat	1	UNK	?	24	1	0	Nebat'	11011026|11012002|11012015	
asa.1	asa	1	UNK	?	24	1	0	Asa'	11015014|11015020|11015023	
Ahaziah.1	Ahaziah	1	PROP	?	24	1	0	Ahaziah	11022040|11022049|11022051	
dawivei.1	dawivei	1	N	devil	24	1	0	Dawivei|dawivei	40004024|40008016|40008028	
Antiok.1	Antiok	1	PROP	?	24	1	0	Antiok	44006005|44011019|44011020	
khet.1	khet	1	UNK	heel	12	1	0	khet	01003015|01025026|01049017	
khet.2	khet	2	UNK	judge	11	0	0	khet	02027019|02027019|02035018	
dawl.1	dawl	1	N	chamber	23	1	0	dawl	01006016|01006016|01006016	
ngate.1	ngate	1	UNK	those	22	1	0	ngate	01014002|01014003|02026003	
ngate.2	ngate	2	UNK	fish	1	0	0			
moi.1	moi	1	N	young	23	1	0	moi	01019004|01042013|01042015	
maa.1	maa	1	N	prosper	23	1	0	maa	01024012|01024040|01024042	
lungkim.1	lungkim	1	V	satisfied	22	1	0	lungkim	01028008|02021008|04024001	
lungkim.2	lungkim	2	V	heart	1	0	0	Lungkim	07008025	
zawn.1	zawn	1	N	poor	11	1	0	zawn	01045011|20006011|20010004	
zawn.2	zawn	2	N	why	6	0	0	zawn|zawn'	07012001|08003009|18008007	
zawn.3	zawn	3	N	pursue	3	0	0	zawn	01031023|11011018|44015039	
zawn.4	zawn	4	FUNC	REFL	2	0	1	ki	20022016|26033030	
zawn.5	zawn	5	N	seek	1	0	0			
ciahkik.1	ciahkik	1	V	return.again	23	1	0	ciahkik	01037030|01038022|02004018	
thaneem.1	thaneem	1	N	naked	19	1	0	thaneem	01042009|10003001|19006002	
thaneem.2	thaneem	2	N	weak	4	0	0	thaneem	23024004|26030025|30004008	
kikhawm.1	kikhawm	1	UNK	gather	23	1	0	kikhawm	01049002|04020002|05033005	
mawl.1	mawl	1	FUNC	REFL	13	1	1	ki	07016025|07016027|10002014	
mawl.2	mawl	2	N	dig	6	0	0	mawl	01049006|07016025|09031004	
mawl.3	mawl	3	N	mad	3	0	0	mawl	21001017|23006010|43012040	
mawl.4	mawl	4	N	blunt	1	0	0	mawl	21010010	
longal.1	longal	1	V	save	23	1	0	longal	02020003|03021003|05005007	
ngakna.1	ngakna	1	UNK	base	23	1	0	ngakna	02030028|02031009|02035016	
mihonte.1	mihonte	1	UNK	poor.person	20	1	0	mihonte'	03004015|04004033|04015024	
mihonte.2	mihonte	2	UNK	?	3	0	0	Mihonte	04016024|41006039|43006010	
ngawh.1	ngawh	1	V	endure	20	1	0	ngawh	03020009|03020011|03020012	
ngawh.2	ngawh	2	FUNC	REFL	1	0	1	ki	05028031	
ngawh.3	ngawh	3	V	blood	1	0	0	ngawh	20019003	
ngawh.4	ngawh	4	V	bite	1	0	0	ngawh	28013011	
Sihon.1	Sihon	1	PROP	?	23	1	0	Sihon	04021021|04021023|04021029	
phong.1	phong	1	V	reveal	22	1	0	phong	04024009|09002008|09002008	
phong.2	phong	2	FUNC	REFL	1	0	1	ki	38004001	
galkapte.1	galkapte	1	UNK	soldier	19	1	0	galkapte'	04031028|09017045|11002035	
galkapte.2	galkapte	2	UNK	war	4	0	0	Galkapte	40027065|42021020	
Arabah.1	Arabah	1	PROP	?	23	1	0	Arabah	05001001|05001007|05002008	
mipilte.1	mipilte	1	UNK	wise.person	21	1	0	mipilte'	05016019|18012017|18015017	
mipilte.2	mipilte	2	UNK	?	2	0	0	Mipilte	24009023	
hilo.1	hilo	1	UNK	?	23	1	0	Hilo	06005014|06024021|07019023	
baal.1	baal	1	UNK	?	23	1	0	Baal|baal	06015009|06015010|06015011	
Boaz.1	Boaz	1	PROP	?	23	1	0	Boaz	08002001|08002004|08002005	
Jessi.1	Jessi	1	PROP	?	23	1	0	Jessi	08004017|08004022|09016001	
thumu.1	thumu	1	UNK	trumpet	23	1	0	thumu	09009009|09009009|09009011	
Abiathar.1	Abiathar	1	PROP	?	23	1	0	Abiathar	09022020|09022021|09022022	
tuihual.1	tuihual	1	UNK	flood	23	1	0	tuihual	10022005|18009008|18038011	
phasa.1	phasa	1	FUNC	REFL	23	1	1	ki	10022028|18022029|18033017	
Benhadad.1	Benhadad	1	PROP	?	23	1	0	Benhadad	11015018|11015020|11020001	
kidim.1	kidim	1	UNK	full	23	1	0	kidim	12003016|19012008|19078021	
sehkhat.1	sehkhat	1	UNK	one.third	23	1	0	sehkhat	12011005|12011006|12011006	
Uzziah.1	Uzziah	1	PROP	?	23	1	0	Uzziah	12014021|12015001|12015007	
itna.1	itna	1	FUNC	REFL	22	1	1	ki	20007018|40024012|45012010	
itna.2	itna	2	N	love.NMLZ	1	0	0	itna	14006042	
Darias.1	Darias	1	PROP	?	23	1	0	Darias	15004005|15005005|15005006	
mangmat.1	mangmat	1	N	dream	23	1	0	mangmat	18004013|18020008|19073020	
gimthuak.1	gimthuak	1	V	suffer	23	1	0	gimthuak	19081015|19119092|19123004	
neihkhem.1	neihkhem	1	UNK	possess	23	1	0	ki	24003010|40006002|40006005	
hell.1	hell	1	N	hell	23	1	0	hell	40005022|40005029|40005030	
huihlak.1	huihlak	1	N	air	22	1	0	huihlak	01001026|01002020|09017046	
ihmut.1	ihmut	1	UNK	deep.sleep	22	1	0	ihmut	01002021|01002021|01015012	
baang.1	baang	1	V	alike	22	1	0	baang	01009023|01044010|02010012	
Gomorrah.1	Gomorrah	1	PROP	?	22	1	0	Gomorrah	01010019|01013010|01014002	
gunpi.1	gunpi	1	N	river	22	1	0	Gunpi|gunpi	01015018|19065009|19072008	
kiseh.1	kiseh	1	N	appoint	22	1	0	kiseh	01018014|02023015|02034018	
tawh.1	tawh	1	N	meet	6	1	0	tawh	01021030|12012012|12022006	
tawh.2	tawh	2	FUNC	REFL	6	0	1	ki	18028001|19094009|19106040	
tawh.3	tawh	3	FUNC	COM	5	0	1	tawh	01026032|19007015|20028010	
tawh.4	tawh	4	N	burn	3	0	0	tawh	05032022|18041021|23030033	
tawh.5	tawh	5	N	with	2	0	0	tawh	18028010|26012012	
gin~gin.1	gin~gin	1	UNK	hear~REDUP	22	1	0	gin~gin	01029011|01045002|02019016	
natui.1	natui	1	N	discharge	22	1	0	natui	01038009|03015002|03015002	
khoi.1	khoi	1	V	nurse	17	1	0	khoi	02002009|09001023|10012003	
khoi.2	khoi	2	V	call	3	0	0	khoi	02002007|02002009|23049021	
khoi.3	khoi	3	V	bring	1	0	0	khoi	23051018	
khoi.4	khoi	4	FUNC	REFL	1	0	1			
merari.1	merari	1	UNK	?	22	1	0	Merari'|merari	02006019|04003020|04003033	
bawk.1	bawk	1	N	bottle	19	1	0	bawk	03013002|03013010|03013010	
bawk.2	bawk	2	N	mule	3	0	0	bawk	13012040|18016016	
siansak.1	siansak	1	V	sanctify	14	1	0	siansak	03016030|04008007|04008021	
siansak.2	siansak	2	FUNC	REFL	8	0	1	ki	03013035|03014002|03015013	
jubilee.1	jubilee	1	N	jubilee	22	1	0	Jubilee|jubilee	03025010|03025011|03025012	
ang.1	ang	1	N	face	12	1	0	ang	05001017|05010017|05016019	
ang.2	ang	2	N	breast	7	0	0	ang	23028009|23049022|36003004	
ang.3	ang	3	FUNC	1SG	1	0	1	ka	04023024	
ang.4	ang	4	N	forehead	1	0	0	ang	19044008	
ang.5	ang	5	N	smell	1	0	0	ang	42014010	
lok.1	lok	1	UNK	shake	12	1	0	lok	18009006|19029008|19029008	
lok.2	lok	2	FUNC	REFL	10	0	1	ki	10001021|10022008|13016030	
vial.1	vial	1	V	knop	10	1	0	vial	11007035|12016017|18030010	
vial.2	vial	2	V	encircle	10	0	0	vial|vialh	11020031|11020032|18038009	
vial.3	vial	3	FUNC	REFL	2	0	1	ki	18008017	
