# language_name:	Mro (Khimi)
# closest ISO 639-3:	cmr
# year_short:	scraped 2026
# year_long:	Not available
# title:	Mro (Khimi)
# URL:	https://www.bible.com/bible/2473
# copyright_short:	See bible.com for copyright information
# copyright_long:	Scraped from bible.com. See original source for copyright.
42004019	Kanma la Ama iwn khimi ji gan txon than ktiw la nidei dy ga naniwn thuiq than ke gan namxoe dy,” nade.
42004020	Jeishu la sa m'jaw gan m'jaw beqtyn hana Kniqkhoeqmaq iwn in iwn ktoenkyn me poe by khiwn la knoenq ha on jo de. Tneq me on niwn khimi axylypi ji la Jeishu menan tkhoenq khi u de.
42004021	Jeishu la ama ji gan, “Sa m'jaw neq thunq iwn phe hana nan ji ave the niwn la veniq khuitan nathaw dy,” naha haw by beqtyn de.
42004022	Ama haw niwn gan the niwn khimi axylypi ji la, “Ama haw niwn pietuiq gan m'an u jo de. ‘Khiwn degan ama ji la,’ Neq la Jawshe spa sy y na by,” naha haw u jo de.
42004023	Jeishu la ama ji gan, “Khimi haw she niwn pie he nan la haw man de. Kshi shma y me-e gan me-e hoi than sha ja. Kapeiranan kun me sha niwn ji ke ji the niwn ji la me-e van khoeq me ma sha ja, nan ji na man de.
42004024	Ke nahaw niwn kneq u. Phoishma ape ma me-e van khoeq me amiq ghoi dan y.
42004025	Phoishma Eilijaq on niwn ktiw me Isreila khoeq menan xoemoen nuipuidi amdaw on ja de. Tneq ktiw me shni thunq de he xa tru de khoeq nien y de tkhoen Isreila khoeq axylypi me mxan u de.
42004026	Gadema Kniqkhoeqmaq la Eilijaq gan Isreila xoemoen me mxoe y. Sidun khoeq Zarata kun me on niwn xoemoen menan mxoe ga de.
42004027	Phoishma Eilishei khaq gan ma Isreila khoeq me xieqbie ka'on amdaw on de. Sirija khoeq iwn xieqbie ka'on Neimen lonq de nienq aghoi gan dan ga de,” naha haw by de.
42004028	Kniqkhoeqmaq iwn in me on niwn khimi axylypi the degan amdaw kdoe thaw pi thaan de.
42004029	Ama ji la thau hana Jeishu gan Nazare kun xanq me mthoe u de. Ama ji la Nazare kun me on niwn tkoenq monq iwn tbie me xieq ha tneq kon nui pjoe de sha by de.
42004030	Gadema Jeishu la khimi tneq ji unq kon thaw hana ne niwn me lyiw vi dy.
42004031	Khiwn degan Jeishu la Galilei khoeq Kapeiranan kun me lyiw ha T'ja Mniq menan Kniqkhoeqmaq iwn in me Piemkun gan mtu by de.
42004032	Ama ji la Jeishu iwn mtu niwn gan m'an u de. Nagy de mei nala Ama iwn mtu by niwn ji la aqna he haw he de.
42004033	Tynygy degan Kniqkhoeqmaq iwn in me anan koen niwn naqpadi lonq de on de. Ama la xanqran hana,
42004034	“Nazare kun iwn Jeishu jy! Ke ji gan tne nasha de ne mei. Ke ji gan namthi than navy niwn by. Nan ape mei naniwn namny ja. Nan la Kniqkhoeqmaq iwn namxoe niwn seryiw niwn tloe sy ja!” na by de.
42004035	Jeishu la anan gan, “Dikshiq on, khimi tneq kon thaw vi,” na by de. Ama la khimi tneq gan ama ji maq me mtinbun hana khimi tneq gan naq he y klauq thaw vi dy.
42004036	Ama ji axylypi la m'an hana lonq de lonq de kahaw u niwn la, “Ama mtu niwn la tne mei mny y. Ama la anan gan aqna he bohan he thaw than haw degan thaw vi bui,” naha kahaw u de.
42004037	Jeishu iwn kthanq tneq ji la atxeq me on niwn van khoeq ttyn kthanq pjoe vi jo de.
42004038	Jeishu la Kniqkhoeqmaq iwn in kon thaw hana Shimun iwn in me lyiw jo de. Shimun iwn api la amdaw xy y niwn gan Jeishu me thuiq by de.
42004039	Jeishu la Peitru iwn api txeq me kdoe ha pie he xy y niwn gan lauq he by de. Peitru iwn api la thau pjoe ha ama ji gan bu an mxiw ha khlonq mnau by de.
42004040	Kniq diwn degan Jeishu menan khimi ji la xy y naq niwn ji anonanaq on niwn ji gan mhen by de. Ama la tneq ji me akoe thyn ha lonq de khiwn la lonq de axylypi hoi he jo de.
42004041	Anan ji ma by khimi amdaw ji kon thaw hana, “Nan la Kniqkhoeqmaq iwn Spa,” naha xanq de. Jeishu la tynygy thuiq ha y than ama ji gan ktiw krie by de. Nagy de tkhoen mei nala ama ji la Jeishu la Meishija naniwn mny de tkhoen jo de.
42004042	Jeishu la mkhoen thoeqdi khimi on y niwn mtynq me lyiw de. Khimi ji la ama gan shoeq u jo de. Ama ji la Jeishu gan katein degan ama ji iwn kun kon thaw ha lyiw y than haw u jo de.
42004043	Gadema Jeishu la, “Ke la axy niwn kun ji me lyiw hana Kniqkhoeqmaq iwn Khoeq kthanq ghoi thuiq ha de. Ama la xandi naniwn gan haw ha de. Nagy de mei nala ke gan tneq sha than Kniqkhoeqmaq namxoe niwn de,” naha haw by de.
42004044	Dyde, Jeishu la thaw hana Judaq khoeq me on niwn Kniqkhoeqmaq iwn in ji me Kniqkhoeqmaq iwn kthanq ghoi gan thuiq jo de.
42005001	Niq de menan Jeishu la Ganeisare tuili tein me kdoe niwn ktiw menan Kniqkhoeqmaq iwn piemkun gan kneq ne niwn khimi ji la Ama txeq me tiwn than kathui u jo de.
42005002	Jeishu la tui tein me xieq ha khe niwn mlon janq ni de gan nu by de. Mui kashoeq ji la mlon kon skrha hana py mshu u jo de.
42005003	Jeishu la Shimun naniwn khimi iwn mlon konq me poe hana kauniq he sxiw man mthui shawshie ja naha sin by de. Jeishu la mlon konq me knoenq hana khimikie ji gan Kniqkhoeqmaq iwn kthanq ghoi mtu by de.
42005004	Jeishu ama khimikie ji gan mtu khiwn degan, “Shimun jy, mlon gan tuili me mthui hana mui dan than py jaq ja,” na by de.
42005005	Shimun la, “O Kanma jy! Ke ji la mxun xun de py m'jau jo de, mie man ma dan y jo de. Gadema nanma nahaw niwn he py gan jaq jo man gan,” naha jaq u jo de.
42005006	Ama ji la py jaq u jo la mui amdaw kmaq by thaan ha py krau nene thaan jo de.
42005007	Dyde ama ji aphau ji iwn axy niwn mlon gan klonq than akoe he kauq de. Klonq than ji ma vy by hana mlon janq ni de mie nene koipy dan thaan de.
42005008	Tynygy niwn gan Shimun Peitru la nu degan ama la Jeishu maq me khawmkhun mdi hana haw niwn la, “Ke la ajie on niwn khimi jo de. Ke kon lyiw vi ja Kanma jy,” naha mkhanq by de.
42005009	Nagy de tynygy mkhanq by niwn mei nala, Peitru he ama iwn aphau ji la mui dan mdaw niwn gan m'an u de tkhoen de.
42005010	Shimun iwn aphau, Zeibeidei iwn spa Jaku he Jawhen xini ma m'an hy jo de. Jeishu la Shimun gan, “Xiq u nanq! Ave kon nan ji la mui shoeq beshe he Ke than khimi ji gan shoeq u man di,” na by de.
42005011	Dyde ama ji la mlon gan kauniq me xie ha thyn khiwn la axylypi khepha ha Jeishu txuiq xui pjoe hy jo de.
42005012	Jeishu la kun haan de me on degan akyq bre xieqbie on niwn khimi lonq de on jo de. Jeishu gan khimi tneq nu degan klena me amime tbaw ha, “Kanma jy! Nan ne la ke iwn xieqbie lauq ha ja de,” na by de.
42005013	Jeishu la ama iwn akoe gan jau khiwn la tydie ha, “Ke ne ja. Nan se gapan,” naniwn he xieqbie lauq pjoe by jo de.
42005014	Ama gan Jeishu la, “Ape gan ma thuiq nanq. Miema me lyiw ha akyq mnui. Mawshei nahaw he hoi niwn avuiq kamse niwn luisui sha ja. Akyq la se dy de naniwn shaushi mthoe ja,” na by de.
42005015	Gadema Jeishu iwn kthanq la van khoeq ji me kthanq niwn khaan y kthanq by vi de. Ama iwn piemkun pieriesa mtu niwn haw niwn kneq than, anonanaq hoi than khimi amdaw ji vy li vy li by lau vi de.
42005016	Gadema Ama la dethunq me ama mkrhe lyiw hana saxein mke jo de.
42005017	Niq de gan Jeishu la piemkun mtu by de. Tynygy degan Galilei khoeq he Judaq khoeq mtynq ttyn iwn kun ji me on niwn ji he Jeirushlen kun iwn Pharishei he pieriesa shma ji ma vy u hana Jeishu mtu niwn txeq me knoenq u de. Jeishu la anonanaq hoi than Kniqkhoeqmaq iwn bohan on de.
42005018	Akhawkoe kta ha y niwn khimi lonq de gan ama ji la ama iwn i'na xedin he pauky tpuq hana Jeishu me mhen by de. Ama ji la inthunq me on niwn Jeishu maq menan mhen de ne jo de.
42005019	Khimikie ji amdaw on de tkhoen ama ji la khimi naq gan Jeishu maq me mhen de dan by y jo de. Dyde ama ji la kta ha y niwn khimi tneq gan tpuq hana inphu me poe hana Jeishu on niwn luqtyn me akhoeq phaw ha xedin gan xuinoen he mxa by de. Ama ji mxa niwn la Jeishu maq me mxa by dy.
42005020	Jeishu la ama ji iwn yn ha akla niwn gan nu degan akhawkoe diw niwn khimi gan, “Aly jy! Nan iwn ajie gan namxoe dy de,” naha haw de.
42005021	Tneq menan Pharishei ji he pieriesa shma ji la, “Khimi neq la Kniqkhoeqmaq gan nu y san y tpie vanq thaan bui. Ama gan ama tne thi jo mei. Kniqkhoeqmaq lonq de xdyn ajie gan mxoe ha niwn ga,” naha ta u de.
42005022	Ama ji amlunq thunq me ta niwn ji gan Jeishu mny by hana, “Nagy de tkhoen nan ji tynygy ta u niwn mei.
42005023	‘Nan iwn ajie gan namxoe dy naniwn jauhoe goe by.’ Sy y la, ‘Thau hana tkie,’ naniwn gan haw than jauhoe goe by.
42005024	Gadema Ke Khimi Spa la khoeqra neq me ajie ji gan mxoe than aqna on ja de naniwn nan ji mny u man de,” naha haw khiwn la akhawkoe kta ha y niwn khimi gan, “Thau ha nanma iwn xedin gan k'jaw hana in me vuiq si,” na by de.
42005025	Khimi tneq ma ama ji maq me ktanle thau hana ama iwn i'na gan k'jaw khiwn la Kniqkhoeqmaq gan mthoeq ha in me vuiq jo de.
42005026	Tynygy niwn gan nu ha khimi axylypi ji la m'an hana Kniqkhoeqmaq gan mthoeq u jo de. Ama ji la xiq hana, “Veniq me ji me yn de dan y thaan niwn nu u dy de,” naha haw u jo de.
42005027	Khiwn la, Jeishu la Leivi naniwn maumoen kakaw lonq de gan ama iwn maumoen kaw niwn jun menan knoenq ha on niwn gan nu by de. Jeishu la, “Leivi, Ke txuiq naxui ja,” na by de.
42005028	Leivi ma thau pjoe hana axylypi gan kheshu khiwn la Jeishu txuiq xui poe vi de.
42005029	Leivi la Jeishu than ama in me shni glein sha jo de. Tneq menan maumoen kakaw amdaw ji he axy niwn khimi ji vy hana Jeishu he vaan de sa u jo de.
42005030	Pharishei ji he pieriesa shma ji la Jeishu iwn atxuiq ji gan, “Nagy de nan ji la maumoen kakaw ji he ajie on niwn khimi ji vaan de bu sa u ni u niwn mei,” naha diwnq by de.
42005031	Jeishu la, “Xy y naq y niwn khimi ji la kshi shma gan ne y de. Gadema xy y naq niwn khimi ji nienq kshi shma gan ne ga de.
42005032	Ke la aghoi sha ga de naniwn khimi ji gan anon dan than kauq de vy niwn sy y de. Me-e gan me-e ajie on de naniwn khimi ji gan anon dan than kauq de vy niwn ga de,” na by de.
42005033	Khimi ji la Jeishu gan, “Jawhen iwn atxuiq ji he Pharishei ji iwn atxuiq ji la sana nina jaq ha saxein mke u de. Nan iwn txuiq ji la sa ha ni ha on ga bui,” naha diwnq by de.
42005034	Jeishu la, “Indon sha niwn shre he khlonq ji la indon sha niwn shni me vaan de on degan bu jaq he de dan de by.
42005035	Gadema nuipui la niwn shre gan xanqla me mhenq niwn ktiw thaw ja tyn man ga. Tynygy degan bu jaq man de,” naha ama ji gan mkonq by de.
42005036	Jeishu ma by ama ji gan taumla he haw by niwn la, “Ape ma kh'aw kauxiwn kash'ei niwn gan kh'aw kautha sh'ei ha mdau hana xuiq y de. Tynygy sha la kh'aw kautha gan mnaw lau ga de. Kh'aw kauxiwn he ma kba y de.
42005037	Sbjie tui kautha gan aphoe he sha niwn tky kauxiwn me ape ma thein y de. Thein la aphoe he sha niwn tky gan sa panq hana sbjie tui la loe khja ga de. Aphoe he sha niwn tky ma pjaulila ga de
42005038	Dyde sbjie tui kautha gan aphoe he sha niwn tky kautha me thein ha de.
42005039	Sbjie tui kauxiwn ni khiwn niwn khimi la kautha gan ni ne y. ‘Kauxiwn la kautha khaan y hoi xiw vi,’ naha thi u de,” naha thuiq by de.
42006001	T'ja Mniq niq de me Jeishu he atxuiq ji la saq ka ji gan tloi ha lyiw u jo de. Tynygy lyiw degan ama iwn atxuiq ji la saqvuiq ji gan k'joe ha akoe he tmiebu khiwn la sa u de.
42006002	Tynygy degan nagy mei niwn Pharishei ji la, “Judaq ji T'ja Mniq me sha ha y naniwn gan nagy de nan ji la sha u niwn mei,” naha diwnq by de.
42006003	Jeishu la ama ji gan, “Davi he ama iwn aphau ji bu kxan by degan tne sha mei naniwn nan ji phe kau y na by.
42006004	Kniqkhoeqmaq iwn in me koen hana Kniqkhoeqmaq maq me poe niwn tkoe gan la ha sa jo de. Ama aphau ji gan ma xi by de. Tkoe tneq gan Kniqkhoeqmaq iwn Miema ji nienq sa ha ga de.”
42006005	Ama la neq ji gan, “Khimi Spa la T'ja Mniq iwn Kanma jo de,” naha mkonq by de.
42006006	Axy niwn T'ja Mniq haan de menan Jeishu la Kniqkhoeqmaq iwn in me lyiw hana piemkun ji mtu by de. Tneq me t'a akoe kta ha y niwn khimi lonq de on de.
42006007	Pharishei ji he pieriesa shma ji la Jeishu gan ajie bi than shoeq by de. Ama ji la Jeishu gan T'ja Mniq me anonanaq hoi than sha la bi de naha son u jo de.
42006008	Gadema Jeishu la ama ji iwn amlunq thunq me ta niwn ji gan mny by de. Akoe kta ha y niwn khimi gan, “Thau hana amaq me vy ha kdoe ja!” na by de. Khimi tneq ma thau hana kanmaq me vy ha kdoe by jo de.
42006009	Khiwn degan Jeishu la, “Nan ji gan ke nadiwnq ve nanq. Pieriesa menan T'ja Mniq me tne sha de mei. Aghoi sha shan by. A'shi sha shan by. Ashau txon than sha shan by. Ashau mthi than sha shan by,” naha ama ji gan diwnq by de.
42006010	Ama ji axylypi gan tkhoenq khiwn la khimi tneq gan haw by niwn la, “Nan akoe gan mtoe ja,” na by ha mtoe jo la hoi vi jo de.
42006011	Gadema Pharishei ji he pieriesa shma ji la kdauthu hana Jeishu gan hoi y niwn nagy sha de mei naniwn gan kashtiw u jo de.
42006012	Tneq ktiw menan Jeishu la tkoenq konq me poe hana Kniqkhoeqmaq me mxun xun de saxein mke ha on de.
42006013	Mkhoen phan me Jeishu la ama iwn atxuiq ji gan kauq jo de. Kauq khiwn la lonq xaq xale ni de gan xieq hana ama ji gan tloe naha kauq by de.
42006014	Ama iwn xieq niwn tloe ji la, Peitru naha kauq niwn Shimun, anaqpi Endrei, Jaku, Jawhen, Philipu, Bathawlamei,
42006015	Mathe, Thawma, Alaphei iwn spa Jaku, Judaq khoeq dan than sha niwn (Zeilu) naha kauq niwn Shimun,
42006016	Jaku iwn spa Judaq he Judaq Iskaro. Judaq Iskaro la ave maq menan Jeishu gan txieq ji me au than khimi jo de.
42006017	Jeishu la ama iwn tloe ji he vaan de tkoenq konq kon skrha u jo de. Atxuiq ji he vaan de kaudyn me kdoe ha on jo de. Judaq khoeq Jeirushlen kun, lahaw tein iwn Tyra he Sidun kun ji iwn khimikie amdaw vy u de.
42006018	Ama ji la Jeishu mtu niwn ji gan kneq than he ama ji iwn anonanaq lauq than vy u niwn jo de. Anan koen niwn ji ma aghoi kkrhau u jo de.
42006019	Khimi axylypi ji la ama gan tydie than akla u de. Kniqkhoeqmaq iwn bohan ama menan on de tkhoen khimi axylypi ji iwn anonanaq gan lauq he ha ja de.
42006020	Jeishu la ama iwn atxuiq ji gan tkhoenq hana, “Nere niwn nan ji la hoelihoelanq man de. Kniqkhoeqmaq iwn Khoeq la nan ji iwn kkrhau man de.
42006021	Ave mxan niwn nan ji la hoelihoelanq man de. Kniqkhoeqmaq la nan ji gan namsa de. Ave xa niwn nan ji la hoelihoelanq man di. Kaukiwn menan ji mnuiq man de.
42006022	“Ke Khimi Spa dhan he khimi ji nan ji gan namtiwliw niwn ji, nakdiepha niwn ji, naskoe niwn ji, khimi shi naha nakauq niwn ji on gamaq hoelihoelanq man di.
42006023	Tynygy nasha degan nan ji la nan ji la amlunq khiwshliw khe hana mlanq u ja. Nagy de mei nala khoeqshniq iwn Khoeq me Kniqkhoeqmaq la nan ji gan hoe niwn avanq napoe man de. Ama ji iwn pui-ui pi-i ji ma veshin iwn phoishma ji gan tynygy sha by jo de.
42006024	Ave kaurein niwn nan ji la dhanshi man de. Nan ji than aghoi dan na on y dy de.
42006025	Ave mna'au than sa ha niwn nan ji la dhanshi man de. Kaukiwn me nan ji la mxan kloeloe man de. Ave mnuiq niwn nan ji la dhanshi ha mxuiq tui thaw ha man de.
42006026	“Khimi amdaw niwn ji nan ji gan mthoe la nan ji dhanshi man de. Ama ji iwn pui-ui pi-i ji ma veshin menan phoishma he ajiwn sha niwn khimi ji gan tynygy haw u de.”
42006027	“Ke txaw kneq niwn ji nahaw gan. Txieq ji gan khie u. Namtiwliw niwn ji gan aghoi sha.
42006028	Natkinq niwn ji gan saxein ghoi phru u. A'shi sha niwn ji avuiq saxein mke by.
42006029	Ame phanphan de natbie la ave phan de gan kahoiq by. Kh'aw la niwn gan mkhanq nanq. Athunq iwn kh'aw ma poe by.
42006030	Khimi lonq de man nan ji gan haan haan man namke degan poe by ja. Nan iwn haan man haan man khimi lonq de nala vi la napoe beqtyn than ama gan haw nanq.
42006031	Khimi ji gan nanma avuiq sha he de ne niwn he khimi ji than sha ja.
42006032	“Nan ji gan nakhie niwn khimi ji gan nienq khie la tne avanq dan de mei. Ajie on niwn khimi ji mtienq la ama ji gan khie niwn khimi ji gan khie u jo de.
42006033	Nanma ji gan aghoi nasha niwn ji gan nienq aghoi sha by la nan ji tne avanq dan de mei. Ajie on niwn ji mtienq la ama ji aghoi sha by beqtyn u ja de.
42006034	Nan ji gan napoe beqtyn ha niwn ji gan nienq tkaan khi by de naha kdon de nala tne avanq dan de mei. Ajie on niwn khimi ji ma tynygy sha u ja.
42006035	Nanma ji iwn txieq ji gan khie ha ama ji gan aghoi sha by. Dan beqtyn than amlunq khe y klauq khi by. Tynygy sha la nan ji la hoe xiw niwn avanq dan de. Nan ji la Shanq Xiw niwn Kniqkhoeqmaq spi ji kkrhau de. Nagy de mei nala ama la hoi y niwn ji gan aghoi sha by jo de.
42006036	Nan ji iwn Pe-e la khimi ji gan mxien beshe he nan ji ma mxien u ja.”
42006037	“Khimi ji gan tautun mkhoi u nanq. Kniqkhoeqmaq la nan ji gan tautun namkhoi y man de. Khimi ji gan ajie on de naha haw u nanq. Tynygy haw la nan ji gan Kniqkhoeqmaq ma ajie on de nana y man ga. Khimi ji iwn ajie gan mxoe u. Nan ji iwn ajie gan ma Kniqkhoeqmaq namxoe man de.
42006038	Khimi ji gan poe u. Nan ji gan ma Kniqkhoeqmaq napoe man de. Khimi ji gan noenq hana koipau poe by la Kniqkhoeqmaq la nan ji gan lienphrau thaan than napoe de,” naha na by de.
42006039	Jeishu la taumla he thuiq by niwn la, “Miju lonq de la ave miju lonq de gan mhoiq la lonq ni de pauky akhoeq me kalie man de.
42006040	Atxuiq lonq de la ama iwn shma khaan y py ha thoenq y de. Gadema shma la atxuiq axylypi gan mtu by khiwn la atxuiq ji la shma he on de.
42006041	“Naqpi iwn ami menan on niwn tpeishei gan nu hana me-e amime on niwn thekon byn gan nagy de tkhoen katein y niwn mei.
42006042	Nanma ami thunq iwn thekon byn kla ma y klauq, ‘Naqpi jy! Nan ami thunq iwn tpeishei gan nala by ve nanq,’ naha haw nanq ja. Khimi ghoi he ajiwn sha niwn khimi jy! Nanma ami thunq iwn thekon byn gan la ma ja. Khiwn degan naqpi ami gan anienmrien nu ha nan naqpi ami thunq iwn tpeishei gan la ha man de.”
42006043	“Akun ghoi menan hoi y niwn athe kthe niwn on y. Hoi y niwn akun me ma athe ghoi kthe y.
42006044	Ama iwn athe gan tkhoenq hana akun gan mny ha ja de. Axinq kun menan lbu the gan k'joe ha y. Ksau kun menan sbjie the gan k'joe ha y.
42006045	Khimi ghoi la ama amlunq menan aghoi on de. Dyde ama la aghoi sha de. Hoi y niwn tpie de. Amlunq thunq me koipau niwn ji la amkha kon thaw jo de.”
42006046	“Ke gan nagy de tkhoen, ‘Kanma, Kanma,’ nakauq ha ke haw niwn gan nagy de kneq u y niwn mei.
42006047	Ke menan navy hana ke haw niwn gan the niwn he sha niwn ji la tne he ththein mei naniwn gan nathuiq by de.
42006048	Khimi tneq la klena menan khoeqre teq ha txun konq me amsi mxa niwn in kasha lonq de he jo de. Tui lein ha in gan tuilein ry gadema in la kasuiq y de. Nagy de mei nala in la anienmrien sha de tkhoen jo de.
42006049	Gadema Ke pie gan the hana kneq y niwn khimi la klena hoi y niwn shraule me in amsi sha y klauq in sha niwn khimi he de. In tneq gan tuilein ry degan in katin hana prylila khja dy de,” naha thuiq by de.
42007001	Jeishu la khimikie ji gan mtu by khiwn degan ama la Kapeiranan kun menan vuiq jo de.
42007002	Roma asora ktoenkyn lonq de menan ama iwn khie niwn tanna lonq de on de. Tanna tneq la diw nene naq by de.
42007003	Roma asora ktoenkyn la Jeishu kthanq the degan ama la ama iwn tanna gan xy y naq niwn hoi he than Jeishu gan kauq de Judaq ktoenkyn ji gan mxoe by de.
42007004	Ama ji la Jeishu me lyiw hana haw by niwn la, “Khimi neq gan Nan klonq shan ja ga.
42007005	Nagy de tkhoen mei nala ama la me ji gan nakhie de tkhoen jo de. Me ji than Kniqkhoeqmaq iwn in gan ma nasha by jo de,” na by de.
42007006	Jeishu ma ama ji he vaan de lyiw poe jo de. Ama ji in tneq me thaw nene menan Roma asora ktoenkyn tneq la aphau ji gan Jeishu me mxoe ha, “Kanma jy! Nan la msha than sha nanq ja. Ke inphu tkui me navy than ke he kba y de.
42007007	Dyde kema ma Kanma me navy than ke he kba y de. Gadema pie mlan man haw la ke iwn tanna hoi man de.
42007008	Nagy mei nala ke akonq me ke gan nasin than ktoenkyn ji on de. Ke tkui me langie ji on de. Ke la langie lonq de gan lyiw nala lyiw de. Ave lonq de gan navy nala vy de. Ke iwn tanna neq gan sha ja nala sha de,” naha na by de.
42007009	Tynygy niwn gan the jo la Jeishu la m'an hana ama lithun xui niwn khimikie ji me kahoiq ha, “Ke nan ji gan nahaw gan. Neq he niwn yn niwn gan Isreila ji thunq me ke lonq man ma katein kau y,” naha haw de.
42007010	Toeq niwn ji in me thaw degan langie ktoenkyn iwn tanna gan hoi ha on niwn gan katein de.
42007011	Texiwn degan Jeishu he vaan de atxuiq ji he khimikie ji la Naina naniwn kun menan lyiw u jo de.
42007012	Kun me koen than thawkha me thaw degan axaw kvuiq de lyiw niwn he katein de. Diw niwn tneq la nuipuidi xoemoen menan lonq de xdyn on niwn spa jo de. Ama he vaan de khimikie ji la axaw kvuiq de lyiw niwn la amdaw thaan de.
42007013	Kanma Jeishu la nuipuidi gan nu by degan mxien niwn mlunq on ha nuipuidi tneq gan, “Xa nanq,” na by de.
42007014	Khiwn degan Ama la lyiw hana kanq gan akoe he tydie by de. Kanq tpuq niwn ji ma knau jo de. Jeishu la, “Aqmon jy! Thau ja, ke nakauq de,” naha haw de.
42007015	Tynygy haw de he diw niwn khimi tneq la knoenq ha atxaw haw dy. Jeishu la tneq gan anoi-oi me au by jo de.
42007016	Khimi axylypi xiq niwn amlunq on lau vi de. Ama ji Kniqkhoeqmaq gan mthoeq khiwn la, “Phoishma glein la me ji me nathaw dy. Kniqkhoeqmaq Ama iwn khimi ji gan klonq de navy dy de,” naha haw u jo de.
42007017	Jeishu kthanq la Judaq khoeq he bauteinbaula axylypi ji me kthanq jaq jo de.
42007018	Jawhen iwn atxuiq ji la ama me kthanq neq axylypi thuiq by degan atxuiq lonq ni de gan kauq by de.
42007019	Kauq khiwn la ama xini gan Kanma Jeishu me mxoe ha, “Nan la navy than khimi lonq de by. Sy y la, ke ji ave lonq man gan kdon ha be man by,” naha diwnq he by de.
42007020	Khimi tneq ji Jeishu me vy by ha, “Batizen shma Jawhen la ke ji gan namxoe de. Nan la navy than khimi lonq de niwn by. Sy y la, ave lonq de gan lan tkhoenq ha be man by. Jawhen nadiwnq he de,” naha na by de.
42007021	Ama xini tneq menan on toen me anonanaq on niwn amdaw ji gan hoi than sha by de. Anan koen niwn ji gan mthoe by de. Ami m'ju niwn ji gan nu than sha by de.
42007022	Dyde Jawhen iwn atxuiq ji gan Jeishu la, “Vuiq ha Jawhen gan nanma xini nu niwn ji he the niwn ji gan thuiq by ja. Ami m'ju niwn ji nu dy de. Khawvie ji tkie dy de. Xieqbie on niwn ji hoi dy de. Anakhin pan niwn ji the ha diw niwn ji xinq beqtyn dy de. Nere niwn ji me kthanq ghoi the dy de.
42007023	Kaukhiwn y klauq ke gan yn niwn khimi ji gan Kniqkhoeqmaq iwn saxein ghoi gan poe by man de.”
42007024	Jawhen iwn tloe ji vuiq vi degan Jeishu la, “Jawhen kthanq khimikie ji gan thuiq by de. Jawhen on niwn dethunq me nan ji tne gan tkhoenq de ne ha lyiw u niwn mei. Kli thaw ha kahiwn niwn shbun kun gan tkhoenq de ne niwn by.
42007025	Tne tkhoenq de lyiw u niwn mei. Kanoen sonme niwn athonathau kakhu kana niwn khimi ji gan tkhoenq than by. Tneq he niwn kanoen sonme kakhu kna niwn khimi ji la xandi in me on ja ga.
42007026	Tne tkhoenq de lyiw u niwn mei. Phoishma gan nu de ne niwn by. Sy ja de. Jawhen la phoishma lonq de khaan y hoe niwn jo de naha ke haw niwn de.
42007027	Kniqkhoeqmaq iwn Piemkun menan Jawhen kthanq tri niwn la, ‘Ke iwn tloe gan namxoe niwn de. Ama la nan than lan namxiw by yy man de,’ naha Kniqkhoeqmaq haw jo de.
42007028	Ke nan ji gan nahaw gan, Khimi kapien niwn thunq me ape ma Jawhen khaan y hoe niwn on y. Gadema Kniqkhoeqmaq iwn Khoeq me shin xiw niwn khimi la Jawhen khaan y hoe jo de,” naha Jeishu thuiq by de.
42007029	Jeishu iwn pie gan kneq niwn khimi axylypi ji he maumoen kakaw ji mtienq la Kniqkhoeqmaq iwn mdimkhiw niwn la hoi de naha haw u jo de. Nagy de mei nala ama ji la Jawhen iwn batizen gan khan u jo de.
42007030	Gadema Pharishei ji he pieriesa shma ji la Kniqkhoeqmaq ama ji than ne niwn gan ie vi hana ama ji la Jawhen me batizen khan u y de.
42007031	Jeishu la, “Dyde ave on niwn khimi ji gan tne he tun ha de mei.
42007032	Ama ji la zi me knoenq niwn naudie ji he de. ‘Ke ji la nan ji than phli tun gadema mlanq u y de. Xaxaw lonq xui gadema xa y de. Ama ji lonq de gan lonq de auq u de.’
42007033	Batizen shma Jawhen vy degan tkoe sa niwn gan jaq ha sbjie tui gan ma ni y klauq on jo de. Nan ji la, ‘Ama gan anan koen niwn khimi ga,’ naha haw u de.
42007034	Ke Khimi Spa la ni ha sa ha on degan nan ji haw u niwn la, ‘Saphilu he kau'in tui ni niwn khimi he ga. Maumoen kakaw ji he ajie on niwn ji he aphau sha lau vi de,’ naha nahaw de.
42007035	Gadema Kniqkhoeqmaq iwn pethon he on niwn khimi ji la Kniqkhoeqmaq la khuitan vi naniwn mny man de,” na by de.
42007036	Pharishei lonq de la Jeishu gan mdiwn bu ama he vaan man sa than kauvi la by de. Jeishu la Pharishei ama in me lyiw hana knoenq khiwn la mdiwn bu sa u de.
42007037	Kun tneq me ajie on ve niwn nuipuidi lonq de on jo de. Ama la Jeishu la Pharishei iwn in me bu sa niwn the jo de. Ama la Jeishu me vy hana txun kaulun he sha niwn plan menan mnanqvin niwn shiqtui koipau mhen jo de.
42007038	Nuipuidi tneq la Jeishu iwn khawtan me kdoe hana xa ha on de. Ama iwn mxuiq tui la Jeishu akhaw me kalie by de. Ama iwn ashan he xoe by de. Jeishu iwn akhaw gan mnan by de. Plan me on niwn mnanqvin niwn shiqtui he Jeishu akhaw gan boe by de.
